_id,PK,CCR,GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
419,1078445,16180587,M,W,22,2016-09-24T01:37:00,"S 16TH ST & E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,4,-79.9827122247394,40.4288316953151
1,1078081,16157849,M,B,29,2016-08-22T23:45:00,"200 Block N DITHRIDGE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,North Oakland,4,507,8,3,-79.9516920828544,40.4493113199749
416,1078442,16175157,M,W,25,2016-09-20T07:10:00,"4000 Block BUTLER ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Central Lawrenceville,2,901,7,2,-79.9616773921585,40.4686930757733
417,1078443,16175157,M,W,25,2016-09-16T07:10:00,"4000 Block BUTLER ST PITTSBURGH, PA ",3503(b.1) Criminal Trespass - Simple Trespasser,Central Lawrenceville,2,901,7,2,-79.9616773921585,40.4686930757733
309,1078356,16176412,M,W,20,2016-09-17T23:20:00,"300 Block ATWOOD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9559451409605,40.4395175941235
420,1078446,16180589,M,W,18,2016-09-23T21:00:00,"0 Block MARKET SQUARE PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Golden Triangle/Civic Arena,2,201,6,6,-80.0030286518706,40.4406135032241
711,1079009,16204546,M,W,20,2016-10-30T02:04:00,"S BOUQUET ST & SENNOTT ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9555478839241,40.4414530423863
713,1079011,16150275,M,W,28,2016-08-11T22:11:00,"400 Block NORTH SHORE DR PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,North Shore,1,2205,1,6,-80.0123365767722,40.4462630510384
716,1079014,16198889,F,B,33,2016-10-13T12:05:00,"CENTRE AV & GROVE ST PITTSBURGH, PA ","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",Middle Hill,2,501,6,3,-79.9796178798535,40.4440369953307
125,1078118,16166548,M,W,24,2016-09-04T02:04:00,"WALNUT ST & BELLEFONTE ST PITTSBURGH, PA ",5505 Public Drunkenness,Shadyside,4,703,8,2,-79.9338488311075,40.4511577238584
720,1079018,16201865,M,W,55,2016-10-26T09:59:00,"E NORTH AV & EAST ST PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",East Allegheny,1,2304,1,1,-79.9988279882149,40.4569205211703
721,1079019,16152748,M,W,50,2016-08-15T16:53:00,"200 Block LELIA ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Mount Washington,3,1915,2,5,-80.0102998489126,40.4218218971121
722,1079020,16152748,M,W,30,2016-08-15T16:53:00,"200 Block LELIA ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Mount Washington,3,1915,2,5,-80.0102998489126,40.4218218971121
2,1078082,16157849,M,W,21,2016-08-22T23:45:00,"200 Block N DITHRIDGE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,North Oakland,4,507,8,3,-79.9516920828544,40.4493113199749
718,1079016,16197616,M,B,43,2016-10-19T14:48:00,"MARKET SQUARE & FORBES AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Central Business District,2,201,6,6,-80.0021899113516,40.4405836266726
4,1078084,16159780,M,B,22,2016-08-25T16:42:00,"7200 Block FRANKSTOWN AV PITTSBURGH, PA ","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",Homewood South,5,1303,9,2,-79.8962537433279,40.4573293365139
719,1079017,16201287,M,B,56,2016-10-25T10:57:00,"FEDERAL ST & ELOISE ST PITTSBURGH, PA ",601.08 (a) Open Container Law,Central North Side,1,2206,1,1,-80.0068357293281,40.4560752235683
421,1078447,16180589,M,B,18,2016-09-23T21:00:00,"0 Block MARKET SQUARE PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Golden Triangle/Civic Arena,2,201,6,6,-80.0030286518706,40.4406135032241
9,1078089,16083638,M,W,50,2016-05-07T16:30:00,"40TH ST & DAVISON ST PITTSBURGH, PA ",5505 Public Drunkenness,Lower Lawrenceville,2,603,7,2,-79.9609029291956,40.4675845653306
319,1078366,16176412,M,W,18,2016-09-17T23:20:00,"300 Block ATWOOD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9559451409605,40.4395175941235
423,1078449,16180620,F,B,24,2016-09-24T02:31:00,"S 17TH ST & BINGHAM ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,4,-79.9819829543845,40.4294608603288
429,1078455,16181310,F,W,24,2016-09-25T02:30:00,"ROLAND ST & S 15TH ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,4,-79.9834351929321,40.4285554906908
433,1078459,16181667,F,W,20,2016-09-25T17:25:00,"100 Block FEDERAL ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",North Shore,1,2205,1,6,-80.0037636731231,40.4477913834499
443,1078487,16180559,M,B,21,2016-09-24T00:50:00,"1700 Block E CARSON ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,South Side Flats,3,1702,3,4,-79.9818690076802,40.4285852039836
703,1079001,16203770,F,O,20,2016-10-29T02:15:00,"20 Block UNGER LANE PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill North,4,1401,8,3,-79.936532464562,40.4455278634613
723,1079021,16206488,F,W,23,2016-11-01T23:22:00,"4400 Block FORBES AV PITTSBURGH, PA ",3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),North Oakland,4,404,8,3,-79.9490987682127,40.4436984856078
10,1078090,16077700,M,B,24,2016-04-29T01:05:00,"80 Block S 15TH ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,South Side Flats,3,1702,3,4,-79.9835729894218,40.4285553017353
526,1078689,16185279,M,W,32,2016-10-01T01:30:00,"800 Block BELLEFONTE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Shadyside,4,703,8,2,-79.9339073210336,40.4511228452791
625,1078876,16208600,M,B,21,2016-11-05T02:00:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
724,1079022,16209272,M,W,31,2016-11-06T01:58:00,"NORTH SHORE DR & CHUCK NOLL WY PITTSBURGH, PA ","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",North Shore,1,2205,1,6,-80.0118718935628,40.4458121789134
729,1079027,16208274,M,B,32,2016-11-04T17:00:00,"100 Block S WHITFIELD ST PITTSBURGH, PA ",5505 Public Drunkenness,East Liberty,5,1115,9,2,-79.9256435473941,40.4617214206566
11,1078091,16077700,M,B,24,2016-04-29T01:05:00,"80 Block S 15TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9835729894218,40.4285553017353
12,1078092,16078368,M,W,22,2016-04-30T02:01:00,"S 16TH ST & ROLAND ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,4,-79.9828364524618,40.4285409799456
14,1078094,16083547,M,B,31,2016-05-07T13:47:00,"700 Block COLLINS AV PITTSBURGH, PA ",601.10 (a) Spitting,East Liberty,5,1113,9,2,-79.9182435941416,40.4673922269652
438,1078482,16176526,F,W,21,2016-09-18T00:00:00,"S 16TH ST & ROLAND ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",South Side Flats,3,1702,3,4,-79.9828364524618,40.4285409799456
439,1078483,16176526,F,W,21,2016-09-18T02:00:00,"S 16TH ST & ROLAND ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9828364524618,40.4285409799456
440,1078484,16176602,M,W,20,2016-09-18T05:05:00,"5200 Block BEELER ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Squirrel Hill North,4,1401,8,3,-79.9360399259909,40.4450738768501
441,1078485,16176602,M,W,20,2016-09-18T05:05:00,"5200 Block BEELER ST PITTSBURGH, PA ",6310.3(a) Carrying a False Identification Card; under 21 to obtain liquor,Squirrel Hill North,4,1401,8,3,-79.9360399259909,40.4450738768501
712,1079010,16150275,M,W,30,2016-08-11T22:11:00,"400 Block NORTH SHORE DR PITTSBURGH, PA ",5505 Public Drunkenness,North Shore,1,2205,1,6,-80.0123365767722,40.4462630510384
730,1079028,16209667,F,W,29,2016-11-06T01:40:00,"1500 Block E CARSON ST PITTSBURGH, PA ","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
731,1079029,16209667,F,W,29,2016-11-06T01:40:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
250,1077901,16149444,M,B,45,2016-08-11T01:46:00,"SARAH ST & S 20TH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,4,-79.9777277713523,40.4276689276961
733,1079031,16210907,M,W,55,2016-11-08T17:27:00,"EAST ST & E NORTH AV PITTSBURGH, PA ","419.01 Obstruction of Street, Sidewalk, or Public Way",East Allegheny,1,2304,1,1,-79.9988279882149,40.4569205211703
333,1078380,16176412,F,O,18,2016-09-17T23:20:00,"300 Block ATWOOD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9559451409605,40.4395175941235
24,1078051,16053250,F,B,26,2016-03-25T01:55:00,"WEST LIBERTY AV & PIONEER AV PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Brookline,6,1917,4,4,-80.0101199059339,40.4129121285125
25,1078052,16053584,M,W,50,2016-03-25T17:11:00,"1600 Block BROADWAY AV PITTSBURGH, PA ",5505 Public Drunkenness,Beechview,6,1916,4,5,-80.0249476123519,40.4104418863019
505,1078621,16198522,M,B,23,2016-10-20T23:20:00,"90 Block S 14TH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,4,-79.9842205709915,40.4270278726993
714,1079012,16151669,M,W,22,2016-08-14T01:31:00,"1700 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9818690076802,40.4285852039836
715,1079013,16193377,M,B,26,2016-10-13T01:55:00,"2200 Block BEDFORD ST PITTSBURGH, PA ",3503(b.1) Criminal Trespass - Simple Trespasser,Bedford Dwellings,2,509,6,3,-79.9780977507415,40.4481215499966
425,1078451,16180644,F,W,35,2016-09-24T03:18:00,"200 Block FEDERAL ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,North Shore,1,2205,1,6,-80.0039602163907,40.4484133392222
446,1078490,16181243,M,W,19,2016-09-25T00:30:00,"3400 Block WARD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,406,3,3,-79.9546530489675,40.4346328825114
447,1078491,16181243,M,W,19,2016-09-25T00:30:00,"3400 Block WARD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,406,3,3,-79.9546530489675,40.4346328825114
26,1078053,16053748,M,B,59,2016-03-25T15:30:00,"5TH AV & WYANDOTTE ST PITTSBURGH, PA ",5505 Public Drunkenness,Bluff,2,103,6,3,-79.9775446153112,40.4382289624755
639,1078904,16195361,F,W,25,2016-10-16T01:45:00,"S 15TH ST & ROLAND ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9834351929321,40.4285554906908
259,1077910,16158389,M,B,24,2016-08-23T18:08:00,"KNOLL ST & OCALA ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,East Allegheny,1,2304,1,1,-80.0014057955514,40.4574703077704
303,1078350,16176412,M,O,20,2016-09-17T23:20:00,"300 Block ATWOOD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9559451409605,40.4395175941235
28,1078055,16053840,M,B,31,2016-03-26T00:01:00,"2000 Block WEST LIBERTY AV PITTSBURGH, PA ",5505 Public Drunkenness,Beechview,6,1920,7,6,-79.9830893955378,40.4509976095343
27,1078054,16053826,M,W,23,2016-03-25T23:33:00,"E CARSON ST & S 15TH ST PITTSBURGH, PA ",601.08 (a) Open Container Law,South Side Flats,3,1702,3,4,-79.9834249315897,40.4288151761983
449,1078493,16181249,M,W,19,2016-09-25T01:00:00,"S BOUQUET ST & JONCAIRE ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9537224539156,40.4404430692371
450,1078494,16181249,F,W,18,2016-09-25T01:00:00,"S BOUQUET ST & JONCAIRE ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9537224539156,40.4404430692371
717,1079015,16199526,M,W,53,2016-10-22T13:28:00,"GRANT ST & LIBERTY AV PITTSBURGH, PA ",602.04(b)(2) Aggressive Panhandling,Central Business District,2,201,6,6,-79.9938453408905,40.4438270701234
286,1078333,16177528,M,W,33,2016-09-19T16:54:00,"PENN AV & 6TH ST PITTSBURGH, PA ",5505 Public Drunkenness,Golden Triangle/Civic Arena,2,201,6,6,-80.0021496638569,40.4427419986884
734,1079032,16210913,M,B,12,2016-11-08T17:00:00,"600 Block E WARRINGTON AV PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Allentown,3,1803,3,4,-79.997203768101,40.4215520108529
735,1079033,16211056,M,B,33,2016-11-08T23:00:00,"200 Block MOFFAT ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,East Carnegie,6,2805,2,5,-80.0736089709132,40.4163727308237
736,1079034,16211087,F,B,28,2016-11-09T00:05:00,"300 Block WOOD ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Central Business District,2,201,6,6,-80.001250590801,40.4389178764408
29,1078056,16036191,M,W,36,2016-03-02T00:30:00,"E CARSON ST & S 18TH ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,4,-79.9805619635861,40.4287585875314
37,1078324,16174871,F,B,14,2016-09-15T20:00:00,"600 Block JOHNSTON AV PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,Glen Hazel,4,1504,5,3,-79.9349385821527,40.4048229443988
44,1077922,16029759,M,W,55,2016-02-18T13:50:00,"1300 Block BREINING ST PITTSBURGH, PA ",633.05 Rabies Vaccination,Brookline,6,1918,4,4,-80.0106987284868,40.3911981932624
45,1077923,16029759,M,W,55,2016-02-18T13:50:00,"1300 Block BREINING ST PITTSBURGH, PA ",5511(c)(1) CRUELTY TO ANIMALS,Brookline,6,1918,4,4,-80.0106987284868,40.3911981932624
725,1079023,16209483,M,W,55,2016-11-06T11:32:00,"E NORTH AV & HOWARD ST PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",East Allegheny,1,2304,1,1,-79.999232378957,40.4568391954305
740,1079038,16212333,M,W,23,2016-11-11T01:00:00,"S 15TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,4,-79.9834249315897,40.4288151761983
741,1079039,16212403,M,W,44,2016-11-11T04:30:00,"800 Block BROOKLINE BL PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Brookline,6,1919,4,4,-80.0200212271545,40.3935157423137
746,1079044,16213011,M,H,25,2016-11-12T02:05:00,"ROLAND ST & S 15TH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,4,-79.9834351929321,40.4285554906908
749,1079047,16213908,F,W,43,2016-11-13T13:00:00,"200 Block PRINGLE ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",East Carnegie,6,2805,2,5,-80.0732736510837,40.4172293451339
46,1077924,16029759,M,W,19,2016-02-10T16:00:00,"1300 Block BREINING ST PITTSBURGH, PA ",633.05 Rabies Vaccination,Brookline,6,1918,4,4,-80.0106987284868,40.3911981932624
47,1077841,16155189,M,W,29,2016-08-19T04:15:00,"29TH ST & PENN AV PITTSBURGH, PA ",5505 Public Drunkenness,Strip District,2,203,7,6,-79.9741993746292,40.4578370826477
48,1077842,16155145,M,B,22,2016-08-19T02:30:00,"E CARSON ST & S 14TH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,4,-79.9841457396827,40.4287991788365
50,1077844,16155095,M,O,24,2016-08-19T01:00:00,"1400 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,4,-79.9840309787249,40.4286485876937
51,1077845,16154922,M,W,58,2016-08-18T20:05:00,"200 Block S FAIRMOUNT ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Friendship,5,807,7,2,-79.9338035855265,40.4623273766874
54,1077848,16123154,F,W,42,2016-07-02T19:15:00,"HEINZ FIELD PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,Lincoln-Lemington-Belmar,1,1201,,,0.0,0.0
56,1077850,16153648,M,W,22,2016-08-17T01:01:00,"5700 Block BEELER ST PITTSBURGH, PA ",601.12 Interference with Official Duties,Squirrel Hill North,4,1401,8,3,-79.9312700769288,40.4455677087098
726,1079024,16206989,F,W,29,2016-11-02T17:04:00,"2000 Block WHARTON ST PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,South Side Flats,2,1702,3,4,-79.9768133267008,40.4300208249454
453,1078502,16182326,M,B,28,2016-09-25T02:15:00,"S 15TH ST & ROLAND ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,4,-79.9834351929321,40.4285554906908
454,1078503,16182327,M,B,69,2016-09-26T18:01:00,"3200 Block NIAGARA ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",South Oakland,4,409,3,3,-79.960377840952,40.4338915428029
727,1079025,16209978,M,B,41,2016-11-07T09:16:00,"I-279 OFF RAMP & EAST ST PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Northview Heights,1,2609,,,0.0,0.0
750,1079048,16213908,F,W,22,2016-11-13T13:00:00,"200 Block PRINGLE ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",East Carnegie,6,2805,2,5,-80.0732736510837,40.4172293451339
751,1079049,16213908,M,W,25,2016-11-13T13:00:00,"200 Block PRINGLE ST PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,East Carnegie,6,2805,2,5,-80.0732736510837,40.4172293451339
57,1077851,16153732,F,B,27,2016-08-17T04:16:00,"2400 Block PARK HILL DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,East Hills,5,1306,9,2,-79.873802880338,40.455827122003
58,1077852,16153732,F,B,22,2016-08-17T04:16:00,"2400 Block PARK HILL DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,East Hills,5,1306,9,2,-79.873802880338,40.455827122003
59,1077853,16153648,M,W,22,2016-08-17T01:01:00,"5700 Block BEELER ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Squirrel Hill North,4,1401,8,3,-79.9312700769288,40.4455677087098
458,1078507,16182905,F,B,20,2016-09-27T15:59:00,"LIBERTY AV & WOOD ST PITTSBURGH, PA ",5503 Disorderly Conduct.,Golden Triangle/Civic Arena,2,201,6,6,-79.9991501722773,40.4426246733499
346,1078393,16160105,M,W,22,2016-08-26T01:30:00,"MEYRAN AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Oakland,4,405,,,0.0,0.0
753,1079051,16214172,F,W,32,2016-11-13T20:20:00,"100 Block ART ROONEY AV PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",North Shore,1,2205,1,6,-80.0163162286534,40.4463146527231
460,1078509,16182919,M,B,60,2016-09-27T16:41:00,"400 Block MARKET ST PITTSBURGH, PA ",5505 Public Drunkenness,Golden Triangle/Civic Arena,2,201,6,6,-80.0023224705615,40.4409295624808
754,1079052,16214596,F,W,65,2016-11-14T13:40:00,"2800 Block COBDEN ST PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,South Side Slopes,3,1608,3,4,-79.9690166232803,40.4196319364003
756,1079054,16214693,F,B,13,2016-11-14T14:45:00,"500 Block MARSHALL AV PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Perry South,1,2615,6,1,-80.0167728442476,40.4710122769737
757,1079055,16214835,M,W,28,2016-11-13T00:40:00,"S 15TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,4,-79.9834249315897,40.4288151761983
762,1079060,16216062,M,W,14,2016-11-16T19:15:00,"4000 Block BEECHWOOD BL PITTSBURGH, PA ",3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,Greenfield,4,1517,5,3,-79.9369853682969,40.427214666666
769,1079083,16150961,M,B,22,2016-08-13T01:10:00,"S 15TH ST & E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9834249315897,40.4288151761983
770,1079084,16150617,M,W,44,2016-08-12T15:50:00,"S SANDUSKY ST & LACOCK ST PITTSBURGH, PA ",5511(c)(1) CRUELTY TO ANIMALS,North Shore,1,2205,1,6,-80.0025581758817,40.4494868584493
773,1079121,16202889,F,B,43,2016-10-27T20:35:00,"2800 Block MURRAY AV PITTSBURGH, PA ",3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises,Squirrel Hill South,4,1414,5,3,-79.9257519772489,40.4279047259722
