account_key,assigned_rating,completion_date,creation_date,lesson_key,processing_state,days_to_completion
616,INCOMPLETE,2015-06-09,2015-06-05,3176718735,EVALUATED,345600000000000
223,PASSED,2015-01-15,2014-12-31,3176718735,EVALUATED,1296000000000000
223,PASSED,2015-03-18,2015-03-10,3168208620,EVALUATED,691200000000000
152,INCOMPLETE,2015-01-21,2015-01-12,3176718735,EVALUATED,777600000000000
152,DISTINCTION,2015-03-19,2015-03-09,3168208620,EVALUATED,864000000000000
152,PASSED,2015-03-09,2015-03-05,3176718735,EVALUATED,345600000000000
1098,PASSED,2015-08-12,2015-08-12,3174288624,EVALUATED,0
1098,INCOMPLETE,2015-08-12,2015-08-11,3174288624,EVALUATED,86400000000000
1098,INCOMPLETE,2015-08-06,2015-08-06,3174288624,EVALUATED,0
1098,INCOMPLETE,2015-07-29,2015-07-28,3174288624,EVALUATED,86400000000000
1098,INCOMPLETE,2015-05-04,2015-05-03,3165188753,EVALUATED,86400000000000
1098,UNGRADED,2015-03-11,2015-03-10,3168208620,EVALUATED,86400000000000
1098,INCOMPLETE,2015-08-11,2015-08-10,3174288624,EVALUATED,86400000000000
1098,INCOMPLETE,2015-01-26,2015-01-12,3176718735,EVALUATED,1209600000000000
1098,PASSED,2015-03-26,2015-03-11,3168208620,EVALUATED,1296000000000000
273,INCOMPLETE,2015-05-28,2015-05-25,3165188753,EVALUATED,259200000000000
273,INCOMPLETE,2015-02-17,2015-02-03,3176718735,EVALUATED,1209600000000000
273,INCOMPLETE,2015-01-26,2015-01-12,3176718735,EVALUATED,1209600000000000
273,PASSED,2015-04-07,2015-03-24,3176718735,EVALUATED,1209600000000000
273,PASSED,2015-03-20,2015-03-10,3168208620,EVALUATED,864000000000000
599,PASSED,2015-08-25,2015-08-25,3176718735,EVALUATED,0
599,INCOMPLETE,2015-08-03,2015-08-03,3176718735,EVALUATED,0
639,PASSED,2014-12-23,2014-12-14,3176718735,EVALUATED,777600000000000
639,PASSED,2015-01-26,2015-01-13,3168208620,EVALUATED,1123200000000000
324,PASSED,2015-08-19,2015-08-19,3176718735,EVALUATED,0
324,PASSED,2015-07-12,2015-07-12,4576183932,EVALUATED,0
324,PASSED,2015-07-27,2015-07-26,4582204201,EVALUATED,86400000000000
324,INCOMPLETE,2015-08-19,2015-08-19,3176718735,EVALUATED,0
439,INCOMPLETE,2015-08-10,2015-08-10,3174288624,EVALUATED,0
439,INCOMPLETE,2015-08-09,2015-08-09,3174288624,EVALUATED,0
439,PASSED,2015-05-21,2015-05-18,3165188753,EVALUATED,259200000000000
439,PASSED,2015-01-07,2015-01-03,3176718735,EVALUATED,345600000000000
439,INCOMPLETE,2015-08-09,2015-08-09,3174288624,EVALUATED,0
439,PASSED,2015-03-27,2015-03-22,3168208620,EVALUATED,432000000000000
439,PASSED,2015-08-11,2015-08-11,3174288624,EVALUATED,0
439,INCOMPLETE,2015-07-29,2015-07-28,3174288624,EVALUATED,86400000000000
439,INCOMPLETE,2015-08-06,2015-08-06,3174288624,EVALUATED,0
608,INCOMPLETE,2015-06-12,2015-06-12,3176718735,EVALUATED,0
608,PASSED,2015-06-12,2015-06-12,3176718735,EVALUATED,0
608,INCOMPLETE,2015-06-11,2015-06-11,3176718735,EVALUATED,0
30,PASSED,2015-03-03,2015-02-16,3168208620,EVALUATED,1296000000000000
30,PASSED,2015-05-21,2015-05-21,3165188753,EVALUATED,0
30,PASSED,2015-02-19,2015-02-16,3176718735,EVALUATED,259200000000000
30,INCOMPLETE,2015-05-21,2015-05-17,3165188753,EVALUATED,345600000000000
168,INCOMPLETE,2015-04-10,2015-04-10,3176718735,EVALUATED,0
168,PASSED,2015-06-30,2015-06-29,3168208620,EVALUATED,86400000000000
168,PASSED,2015-05-04,2015-05-04,3176718735,EVALUATED,0
168,INCOMPLETE,2015-04-15,2015-04-15,3176718735,EVALUATED,0
224,INCOMPLETE,2015-07-27,2015-07-26,3174288624,EVALUATED,86400000000000
224,PASSED,2015-05-21,2015-05-15,3165188753,EVALUATED,518400000000000
224,PASSED,2015-08-26,2015-08-25,3174288624,EVALUATED,86400000000000
224,INCOMPLETE,2015-08-25,2015-08-25,3174288624,EVALUATED,0
224,INCOMPLETE,2015-01-25,2015-01-11,3176718735,EVALUATED,1209600000000000
224,INCOMPLETE,2015-05-07,2015-05-04,3165188753,EVALUATED,259200000000000
224,PASSED,2015-03-19,2015-03-10,3168208620,EVALUATED,777600000000000
224,PASSED,2015-02-11,2015-01-28,3176718735,EVALUATED,1209600000000000
1206,INCOMPLETE,2015-08-03,2015-08-02,3176718735,EVALUATED,86400000000000
575,PASSED,2015-08-24,2015-08-24,3168208620,EVALUATED,0
575,PASSED,2015-07-20,2015-07-19,4576183932,EVALUATED,86400000000000
575,PASSED,2015-07-20,2015-07-20,4582204201,EVALUATED,0
575,PASSED,2015-08-10,2015-08-10,3176718735,EVALUATED,0
641,PASSED,2015-04-17,2015-04-16,3168208620,EVALUATED,86400000000000
641,INCOMPLETE,2015-04-15,2015-04-15,3176718735,EVALUATED,0
641,PASSED,2015-05-21,2015-05-20,3165188753,EVALUATED,86400000000000
641,INCOMPLETE,2015-05-21,2015-05-16,3165188753,EVALUATED,432000000000000
641,INCOMPLETE,2015-05-21,2015-05-06,3165188753,EVALUATED,1296000000000000
641,PASSED,2015-05-21,2015-05-13,3184238632,EVALUATED,691200000000000
641,INCOMPLETE,2015-04-26,2015-04-25,3174288624,EVALUATED,86400000000000
641,PASSED,2015-04-16,2015-04-16,3176718735,EVALUATED,0
641,INCOMPLETE,2015-04-15,2015-04-15,3176718735,EVALUATED,0
641,INCOMPLETE,2015-04-15,2015-04-14,3168208620,EVALUATED,86400000000000
641,PASSED,2015-05-01,2015-04-30,3174288624,EVALUATED,86400000000000
641,INCOMPLETE,2015-04-15,2015-04-15,3176718735,EVALUATED,0
641,INCOMPLETE,2015-04-13,2015-04-13,3168208620,EVALUATED,0
641,INCOMPLETE,2015-05-21,2015-05-12,3165188753,EVALUATED,777600000000000
641,INCOMPLETE,2015-04-23,2015-04-23,3174288624,EVALUATED,0
641,INCOMPLETE,2015-05-21,2015-05-12,3184238632,EVALUATED,777600000000000
641,INCOMPLETE,2015-04-08,2015-04-08,3176718735,EVALUATED,0
156,INCOMPLETE,2015-05-21,2015-05-12,3165188753,EVALUATED,777600000000000
156,INCOMPLETE,2015-05-08,2015-05-05,3165188753,EVALUATED,259200000000000
156,DISTINCTION,2015-01-26,2015-01-12,3176718735,EVALUATED,1209600000000000
156,INCOMPLETE,2015-06-10,2015-06-09,3165188753,EVALUATED,86400000000000
156,DISTINCTION,2015-03-18,2015-03-09,3168208620,EVALUATED,777600000000000
232,PASSED,2015-08-03,2015-08-02,3165188753,EVALUATED,86400000000000
232,PASSED,2015-02-21,2015-02-08,3176718735,EVALUATED,1123200000000000
232,INCOMPLETE,2015-07-27,2015-07-27,3165188753,EVALUATED,0
232,PASSED,2015-05-05,2015-05-05,3168208620,EVALUATED,0
484,PASSED,2015-07-24,2015-07-24,3174288624,EVALUATED,0
484,INCOMPLETE,2015-07-24,2015-07-23,3174288624,EVALUATED,86400000000000
484,INCOMPLETE,2015-06-13,2015-06-13,3176718735,EVALUATED,0
484,INCOMPLETE,2015-08-07,2015-08-01,4110338963,EVALUATED,518400000000000
484,INCOMPLETE,2015-07-23,2015-07-22,3174288624,EVALUATED,86400000000000
484,PASSED,2015-06-14,2015-06-14,3176718735,EVALUATED,0
484,INCOMPLETE,2015-06-14,2015-06-14,3176718735,EVALUATED,0
484,INCOMPLETE,2015-06-11,2015-06-10,3176718735,EVALUATED,86400000000000
484,PASSED,2015-08-11,2015-08-11,4110338963,EVALUATED,0
484,INCOMPLETE,2015-07-03,2015-07-02,3168208620,EVALUATED,86400000000000
484,INCOMPLETE,2015-06-11,2015-06-11,3176718735,EVALUATED,0
484,INCOMPLETE,2015-06-13,2015-06-13,3176718735,EVALUATED,0
484,PASSED,2015-07-03,2015-07-03,3168208620,EVALUATED,0
1224,PASSED,2015-07-29,2015-07-28,4576183932,EVALUATED,86400000000000
1,PASSED,2015-07-11,2015-07-10,4576183932,EVALUATED,86400000000000
1,PASSED,2015-05-30,2015-05-30,3176718735,EVALUATED,0
1,INCOMPLETE,2015-05-28,2015-05-28,3176718735,EVALUATED,0
611,PASSED,2014-12-31,2014-12-30,3176718735,EVALUATED,86400000000000
611,PASSED,2015-01-01,2014-12-12,3174288624,EVALUATED,1728000000000000
611,PASSED,2015-01-18,2015-01-05,3168208620,EVALUATED,1123200000000000
189,INCOMPLETE,2015-07-03,2015-07-01,3165188753,EVALUATED,172800000000000
189,PASSED,2015-05-29,2015-05-28,3168208620,EVALUATED,86400000000000
189,PASSED,2015-05-21,2015-05-20,3176718735,EVALUATED,86400000000000
491,INCOMPLETE,2015-08-27,2015-08-27,3165188753,EVALUATED,0
491,INCOMPLETE,2015-08-06,2015-08-06,3168208620,EVALUATED,0
491,INCOMPLETE,2015-07-27,2015-07-26,3168208620,EVALUATED,86400000000000
491,INCOMPLETE,2015-08-25,2015-08-23,3165188753,EVALUATED,172800000000000
491,PASSED,2015-06-25,2015-06-25,3176718735,EVALUATED,0
491,INCOMPLETE,2015-06-22,2015-06-22,3176718735,EVALUATED,0
491,PASSED,2015-08-07,2015-08-07,3168208620,EVALUATED,0
491,INCOMPLETE,2015-06-24,2015-06-24,3176718735,EVALUATED,0
491,INCOMPLETE,2015-06-23,2015-06-23,3176718735,EVALUATED,0
535,PASSED,2015-07-02,2015-07-02,3168208620,EVALUATED,0
535,PASSED,2015-04-13,2015-04-01,3176718735,EVALUATED,1036800000000000
57,PASSED,2015-06-08,2015-06-06,3165188753,EVALUATED,172800000000000
57,INCOMPLETE,2014-12-26,2014-12-19,3176718735,EVALUATED,604800000000000
57,INCOMPLETE,2015-06-05,2015-06-03,3165188753,EVALUATED,172800000000000
57,PASSED,2015-02-11,2015-02-10,3168208620,EVALUATED,86400000000000
57,INCOMPLETE,2015-07-22,2015-07-22,3174288624,EVALUATED,0
57,PASSED,2015-01-16,2015-01-10,3176718735,EVALUATED,518400000000000
57,PASSED,2015-07-26,2015-07-26,3174288624,EVALUATED,0
57,INCOMPLETE,2015-07-23,2015-07-22,3174288624,EVALUATED,86400000000000
61,PASSED,2015-08-25,2015-08-25,3165188753,EVALUATED,0
61,PASSED,2015-08-23,2015-08-23,3168208620,EVALUATED,0
61,PASSED,2015-06-28,2015-06-28,3176718735,EVALUATED,0
61,INCOMPLETE,2015-08-24,2015-08-24,3165188753,EVALUATED,0
61,INCOMPLETE,2015-08-22,2015-08-22,3168208620,EVALUATED,0
61,INCOMPLETE,2015-06-07,2015-06-07,3176718735,EVALUATED,0
375,PASSED,2015-07-21,2015-07-21,3168208620,EVALUATED,0
375,INCOMPLETE,2015-07-20,2015-07-20,3168208620,EVALUATED,0
375,PASSED,2015-05-22,2015-05-22,3176718735,EVALUATED,0
375,INCOMPLETE,2015-05-01,2015-05-01,3176718735,EVALUATED,0
375,INCOMPLETE,2015-05-01,2015-05-01,3176718735,EVALUATED,0
130,UNGRADED,2015-02-21,2015-01-29,3176718735,EVALUATED,1987200000000000
130,PASSED,2015-02-24,2015-02-24,3176718735,EVALUATED,0
130,INCOMPLETE,2015-01-21,2015-01-12,3176718735,EVALUATED,777600000000000
365,INCOMPLETE,2015-08-19,2015-08-19,3168208620,EVALUATED,0
365,INCOMPLETE,2015-08-03,2015-08-02,3176718735,EVALUATED,86400000000000
365,PASSED,2015-08-04,2015-08-04,3176718735,EVALUATED,0
365,PASSED,2015-08-19,2015-08-19,3168208620,EVALUATED,0
90,INCOMPLETE,2015-02-11,2015-01-31,3176718735,EVALUATED,950400000000000
90,INCOMPLETE,2015-01-14,2015-01-02,3176718735,EVALUATED,1036800000000000
90,INCOMPLETE,2015-08-27,2015-08-25,3165188753,EVALUATED,172800000000000
90,INCOMPLETE,2015-06-02,2015-06-02,3168208620,EVALUATED,0
90,INCOMPLETE,2015-01-28,2015-01-14,3176718735,EVALUATED,1209600000000000
90,PASSED,2015-02-27,2015-02-13,3176718735,EVALUATED,1209600000000000
90,PASSED,2015-06-04,2015-06-04,3168208620,EVALUATED,0
694,INCOMPLETE,2015-08-26,2015-08-26,4582204201,EVALUATED,0
694,PASSED,2015-07-15,2015-07-14,4576183932,EVALUATED,86400000000000
84,INCOMPLETE,2015-06-28,2015-06-28,3176718735,EVALUATED,0
84,INCOMPLETE,2015-05-29,2015-05-29,3176718735,EVALUATED,0
84,PASSED,2015-07-01,2015-07-01,3176718735,EVALUATED,0
618,PASSED,2015-02-10,2015-01-30,3176718735,EVALUATED,950400000000000
712,INCOMPLETE,2015-01-20,2015-01-13,3176718735,EVALUATED,604800000000000
497,PASSED,2015-07-15,2015-07-15,3176718735,EVALUATED,0
497,INCOMPLETE,2015-07-05,2015-07-05,3176718735,EVALUATED,0
605,INCOMPLETE,2015-05-21,2015-05-07,3176718735,EVALUATED,1209600000000000
605,INCOMPLETE,2015-03-13,2015-03-11,3176718735,EVALUATED,172800000000000
605,PASSED,2015-05-21,2015-05-07,3176718735,EVALUATED,1209600000000000
313,,,2015-06-04,3176718735,CREATED,-9223372036854775808
313,INCOMPLETE,2015-06-04,2015-06-04,3176718735,EVALUATED,0
313,PASSED,2015-05-21,2015-05-18,3165188753,EVALUATED,259200000000000
313,PASSED,2015-03-02,2015-02-25,3176718735,EVALUATED,432000000000000
313,PASSED,2015-04-13,2015-04-08,3168208620,EVALUATED,432000000000000
313,INCOMPLETE,2015-04-05,2015-04-04,3168208620,EVALUATED,86400000000000
537,PASSED,2015-03-19,2015-03-19,3168208620,EVALUATED,0
537,PASSED,2015-01-13,2014-12-30,3176718735,EVALUATED,1209600000000000
537,UNGRADED,2015-03-18,2015-03-04,3168208620,EVALUATED,1209600000000000
581,PASSED,2015-02-24,2015-02-23,3176718735,EVALUATED,86400000000000
581,DISTINCTION,2015-03-27,2015-03-24,3168208620,EVALUATED,259200000000000
581,INCOMPLETE,2015-06-29,2015-06-29,3165188753,EVALUATED,0
581,INCOMPLETE,2015-02-16,2015-02-02,3176718735,EVALUATED,1209600000000000
581,PASSED,2015-07-04,2015-07-03,3165188753,EVALUATED,86400000000000
629,INCOMPLETE,2015-08-04,2015-08-03,3176718735,EVALUATED,86400000000000
629,PASSED,2015-08-05,2015-08-05,3176718735,EVALUATED,0
541,DISTINCTION,2015-02-07,2015-01-25,3165188753,EVALUATED,1123200000000000
541,INCOMPLETE,2015-01-14,2015-01-02,3176718735,EVALUATED,1036800000000000
541,PASSED,2015-02-27,2015-02-12,3168208620,EVALUATED,1296000000000000
541,PASSED,2015-02-13,2015-01-31,3176718735,EVALUATED,1123200000000000
541,PASSED,2015-04-08,2015-03-27,3174288624,EVALUATED,1036800000000000
541,PASSED,2015-06-07,2015-05-29,3184238632,EVALUATED,777600000000000
207,PASSED,2015-04-13,2015-04-04,3168208620,EVALUATED,777600000000000
207,PASSED,2015-07-29,2015-07-27,3174288624,EVALUATED,172800000000000
207,INCOMPLETE,2015-05-21,2015-05-20,3165188753,EVALUATED,86400000000000
207,INCOMPLETE,2015-03-24,2015-03-15,3168208620,EVALUATED,777600000000000
207,INCOMPLETE,2015-07-23,2015-07-23,3174288624,EVALUATED,0
207,PASSED,2015-06-12,2015-06-12,3165188753,EVALUATED,0
207,PASSED,2015-01-16,2015-01-09,3176718735,EVALUATED,604800000000000
416,PASSED,2015-06-01,2015-06-01,3176718735,EVALUATED,0
416,INCOMPLETE,2015-05-31,2015-05-31,3176718735,EVALUATED,0
416,INCOMPLETE,2015-05-30,2015-05-30,3176718735,EVALUATED,0
612,PASSED,2015-02-03,2015-01-22,3176718735,EVALUATED,1036800000000000
612,INCOMPLETE,2015-01-15,2015-01-02,3176718735,EVALUATED,1123200000000000
258,INCOMPLETE,2015-05-21,2015-05-14,3165188753,EVALUATED,604800000000000
258,PASSED,2015-06-08,2015-06-07,3174288624,EVALUATED,86400000000000
258,PASSED,2015-05-21,2015-05-21,3165188753,EVALUATED,0
258,INCOMPLETE,2015-06-10,2015-06-09,3184238632,EVALUATED,86400000000000
258,DISTINCTION,2015-03-19,2015-03-06,3168208620,EVALUATED,1123200000000000
258,INCOMPLETE,2015-05-06,2015-05-04,3165188753,EVALUATED,172800000000000
258,PASSED,2015-01-22,2015-01-12,3176718735,EVALUATED,864000000000000
258,PASSED,2015-06-19,2015-06-12,3184238632,EVALUATED,604800000000000
258,INCOMPLETE,2015-06-12,2015-06-10,3184238632,EVALUATED,172800000000000
258,INCOMPLETE,2015-06-01,2015-05-31,3174288624,EVALUATED,86400000000000
413,INCOMPLETE,2015-04-14,2015-03-30,3176718735,EVALUATED,1296000000000000
413,PASSED,2015-05-02,2015-05-01,3176718735,EVALUATED,86400000000000
413,INCOMPLETE,2015-04-29,2015-04-23,3176718735,EVALUATED,518400000000000
652,INCOMPLETE,2015-08-05,2015-08-05,3165188753,EVALUATED,0
652,PASSED,2015-08-23,2015-08-23,3165188753,EVALUATED,0
652,INCOMPLETE,2015-08-04,2015-08-03,3165188753,EVALUATED,86400000000000
652,INCOMPLETE,2015-08-07,2015-08-07,3165188753,EVALUATED,0
652,INCOMPLETE,2015-05-03,2015-05-03,3176718735,EVALUATED,0
652,PASSED,2015-04-03,2015-03-22,3168208620,EVALUATED,1036800000000000
652,PASSED,2015-05-05,2015-05-05,3176718735,EVALUATED,0
412,PASSED,2015-01-31,2015-01-22,3176718735,EVALUATED,777600000000000
412,INCOMPLETE,2015-01-13,2015-01-04,3176718735,EVALUATED,777600000000000
647,PASSED,2015-07-02,2015-07-02,3176718735,EVALUATED,0
474,PASSED,2015-02-14,2015-01-31,3184238632,EVALUATED,1209600000000000
474,PASSED,2015-02-13,2015-01-30,3174288624,EVALUATED,1209600000000000
474,PASSED,2015-02-02,2015-01-21,3168208620,EVALUATED,1036800000000000
474,PASSED,2015-02-10,2015-01-26,3165188753,EVALUATED,1296000000000000
474,,,2015-02-12,3562208770,CREATED,-9223372036854775808
474,PASSED,2015-01-28,2015-01-14,3176718735,EVALUATED,1209600000000000
150,PASSED,2015-05-01,2015-05-01,3184238632,EVALUATED,0
150,PASSED,2015-03-12,2015-03-10,3165188753,EVALUATED,172800000000000
150,INCOMPLETE,2015-04-14,2015-03-30,3174288624,EVALUATED,1296000000000000
150,INCOMPLETE,2015-03-01,2015-02-23,3165188753,EVALUATED,518400000000000
150,PASSED,2015-02-03,2015-01-21,3168208620,EVALUATED,1123200000000000
150,INCOMPLETE,2015-05-01,2015-04-30,3184238632,EVALUATED,86400000000000
150,PASSED,2015-04-15,2015-04-15,3174288624,EVALUATED,0
150,INCOMPLETE,2015-04-29,2015-04-27,3184238632,EVALUATED,172800000000000
150,PASSED,2014-12-23,2014-12-15,3176718735,EVALUATED,691200000000000
138,INCOMPLETE,2015-05-02,2015-05-02,3176718735,EVALUATED,0
138,INCOMPLETE,2015-04-30,2015-04-28,3176718735,EVALUATED,172800000000000
138,PASSED,2015-05-03,2015-05-03,3176718735,EVALUATED,0
198,INCOMPLETE,2014-12-24,2014-12-10,3176718735,EVALUATED,1209600000000000
198,PASSED,2015-02-10,2015-01-30,3168208620,EVALUATED,950400000000000
198,PASSED,2015-06-22,2015-06-17,3174288624,EVALUATED,432000000000000
198,PASSED,2015-04-20,2015-04-20,3165188753,EVALUATED,0
198,PASSED,2015-01-07,2015-01-04,3176718735,EVALUATED,259200000000000
309,INCOMPLETE,2015-05-06,2015-05-04,3165188753,EVALUATED,172800000000000
309,PASSED,2015-06-21,2015-06-21,3165188753,EVALUATED,0
309,INCOMPLETE,2015-06-17,2015-06-15,3165188753,EVALUATED,172800000000000
309,PASSED,2015-03-24,2015-03-09,3168208620,EVALUATED,1296000000000000
309,PASSED,2015-01-27,2015-01-12,3176718735,EVALUATED,1296000000000000
984,INCOMPLETE,2015-08-18,2015-08-18,4576183932,EVALUATED,0
984,PASSED,2015-08-18,2015-08-18,4576183932,EVALUATED,0
984,INCOMPLETE,2015-08-17,2015-08-17,4576183932,EVALUATED,0
601,PASSED,2014-12-01,2014-11-28,3176718735,EVALUATED,259200000000000
606,INCOMPLETE,2015-06-01,2015-05-31,3176718735,EVALUATED,86400000000000
606,PASSED,2015-06-01,2015-06-01,3176718735,EVALUATED,0
606,INCOMPLETE,2015-05-30,2015-05-30,3176718735,EVALUATED,0
606,INCOMPLETE,2015-05-31,2015-05-31,3176718735,EVALUATED,0
230,INCOMPLETE,2015-04-29,2015-04-29,3165188753,EVALUATED,0
230,INCOMPLETE,2015-07-29,2015-07-28,3174288624,EVALUATED,86400000000000
230,PASSED,2015-03-10,2015-02-26,3168208620,EVALUATED,1036800000000000
230,INCOMPLETE,2015-08-02,2015-07-29,3174288624,EVALUATED,345600000000000
230,PASSED,2015-04-30,2015-04-30,3165188753,EVALUATED,0
230,PASSED,2014-12-30,2014-12-14,3176718735,EVALUATED,1382400000000000
632,INCOMPLETE,2015-05-31,2015-05-31,3176718735,EVALUATED,0
632,PASSED,2015-07-20,2015-07-20,3168208620,EVALUATED,0
632,PASSED,2015-06-09,2015-06-05,3176718735,EVALUATED,345600000000000
83,INCOMPLETE,2015-07-18,2015-07-17,4582204201,EVALUATED,86400000000000
83,PASSED,2015-07-16,2015-07-16,4576183932,EVALUATED,0
83,INCOMPLETE,2015-08-26,2015-08-26,3168208620,EVALUATED,0
83,PASSED,2015-08-04,2015-08-04,3176718735,EVALUATED,0
83,PASSED,2015-07-20,2015-07-20,4582204201,EVALUATED,0
83,PASSED,2015-08-26,2015-08-26,3168208620,EVALUATED,0
83,INCOMPLETE,2015-07-16,2015-07-15,3176718735,EVALUATED,86400000000000
195,PASSED,2015-05-04,2015-04-30,3165188753,EVALUATED,345600000000000
195,INCOMPLETE,2015-04-22,2015-04-21,3165188753,EVALUATED,86400000000000
195,INCOMPLETE,2015-04-11,2015-04-10,3165188753,EVALUATED,86400000000000
195,PASSED,2015-04-09,2015-03-26,3168208620,EVALUATED,1209600000000000
195,PASSED,2014-12-18,2014-12-17,3176718735,EVALUATED,86400000000000
195,INCOMPLETE,2015-01-30,2015-01-14,3174288624,EVALUATED,1382400000000000
195,INCOMPLETE,2015-04-06,2015-03-22,3165188753,EVALUATED,1296000000000000
195,UNGRADED,2015-02-18,2015-02-03,3174288624,EVALUATED,1296000000000000
195,INCOMPLETE,2015-03-13,2015-03-03,3168208620,EVALUATED,864000000000000
195,PASSED,2015-03-05,2015-02-20,3174288624,EVALUATED,1123200000000000
69,INCOMPLETE,2015-04-30,2015-04-30,3176718735,EVALUATED,0
69,INCOMPLETE,2015-02-18,2015-02-08,3176718735,EVALUATED,864000000000000
69,INCOMPLETE,2015-01-24,2015-01-12,3176718735,EVALUATED,1036800000000000
69,INCOMPLETE,2015-05-05,2015-05-04,3176718735,EVALUATED,86400000000000
69,PASSED,2015-05-06,2015-05-06,3176718735,EVALUATED,0
69,INCOMPLETE,2015-05-04,2015-04-30,3176718735,EVALUATED,345600000000000
361,PASSED,2015-06-03,2015-06-03,3168208620,EVALUATED,0
361,INCOMPLETE,2015-05-21,2015-05-18,3176718735,EVALUATED,259200000000000
361,INCOMPLETE,2015-06-08,2015-06-07,3165188753,EVALUATED,86400000000000
361,INCOMPLETE,2015-05-23,2015-05-22,3176718735,EVALUATED,86400000000000
361,INCOMPLETE,2015-06-03,2015-06-03,3168208620,EVALUATED,0
361,PASSED,2015-05-23,2015-05-23,3176718735,EVALUATED,0
533,PASSED,2015-07-06,2015-07-05,3176718735,EVALUATED,86400000000000
533,INCOMPLETE,2015-08-12,2015-08-12,3168208620,EVALUATED,0
533,INCOMPLETE,2015-06-29,2015-06-29,3176718735,EVALUATED,0
533,PASSED,2015-08-14,2015-08-14,3168208620,EVALUATED,0
533,INCOMPLETE,2015-07-04,2015-07-03,3176718735,EVALUATED,86400000000000
321,PASSED,2015-08-06,2015-08-06,3176718735,EVALUATED,0
321,PASSED,2015-06-30,2015-06-29,3168208620,EVALUATED,86400000000000
321,INCOMPLETE,2015-08-06,2015-08-06,3176718735,EVALUATED,0
321,PASSED,2015-08-06,2015-08-06,4576183932,EVALUATED,0
321,INCOMPLETE,2015-03-17,2015-03-04,3176718735,EVALUATED,1123200000000000
321,INCOMPLETE,2015-01-21,2015-01-06,3176718735,EVALUATED,1296000000000000
7,PASSED,2015-07-28,2015-07-27,3176718735,EVALUATED,86400000000000
7,INCOMPLETE,2015-07-27,2015-07-27,3176718735,EVALUATED,0
7,INCOMPLETE,2015-07-07,2015-07-07,3176718735,EVALUATED,0
523,INCOMPLETE,2015-04-05,2015-04-05,3176718735,EVALUATED,0
523,INCOMPLETE,2015-04-05,2015-04-05,3176718735,EVALUATED,0
523,PASSED,2015-08-10,2015-08-10,3168208620,EVALUATED,0
523,PASSED,2015-08-17,2015-08-17,4576183932,EVALUATED,0
