account_key,cancel_date,days_to_cancel,is_canceled,join_date,status,cancel_year,cancel_month,cancel_day,join_year,join_month,join_day
1204,2014-12-17,37.0,True,2014-11-10,canceled,2014.0,12.0,17.0,2014,11,10
195,,,False,2014-11-10,current,,,,2014,11,10
890,2014-11-11,1.0,True,2014-11-10,canceled,2014.0,11.0,11.0,2014,11,10
354,,,False,2014-11-10,current,,,,2014,11,10
837,2014-11-11,1.0,True,2014-11-10,canceled,2014.0,11.0,11.0,2014,11,10
114,2014-11-11,1.0,True,2014-11-10,canceled,2014.0,11.0,11.0,2014,11,10
114,,,False,2015-05-08,current,,,,2015,5,8
810,2014-11-13,3.0,True,2014-11-10,canceled,2014.0,11.0,13.0,2014,11,10
394,2015-04-17,158.0,True,2014-11-10,canceled,2015.0,4.0,17.0,2014,11,10
1253,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
1253,2015-01-20,6.0,True,2015-01-14,canceled,2015.0,1.0,20.0,2015,1,14
504,2015-06-17,219.0,True,2014-11-10,canceled,2015.0,6.0,17.0,2014,11,10
537,,,False,2014-11-10,current,,,,2014,11,10
72,2015-05-17,188.0,True,2014-11-10,canceled,2015.0,5.0,17.0,2014,11,10
268,2014-12-17,37.0,True,2014-11-10,canceled,2014.0,12.0,17.0,2014,11,10
268,2015-08-10,129.0,True,2015-04-03,canceled,2015.0,8.0,10.0,2015,4,3
339,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
339,2015-06-17,77.0,True,2015-04-01,canceled,2015.0,6.0,17.0,2015,4,1
339,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
1244,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
1244,,,False,2015-03-10,current,,,,2015,3,10
1244,2015-03-10,55.0,True,2015-01-14,canceled,2015.0,3.0,10.0,2015,1,14
1244,2015-04-27,41.0,True,2015-03-17,canceled,2015.0,4.0,27.0,2015,3,17
1244,2015-08-17,92.0,True,2015-05-17,canceled,2015.0,8.0,17.0,2015,5,17
752,2014-11-19,9.0,True,2014-11-10,canceled,2014.0,11.0,19.0,2014,11,10
194,,,False,2014-11-10,current,,,,2014,11,10
520,2015-03-17,127.0,True,2014-11-10,canceled,2015.0,3.0,17.0,2014,11,10
102,,,False,2014-11-10,current,,,,2014,11,10
367,2015-04-02,142.0,True,2014-11-11,canceled,2015.0,4.0,2.0,2014,11,11
258,2015-07-17,249.0,True,2014-11-10,canceled,2015.0,7.0,17.0,2014,11,10
522,,,False,2014-11-10,current,,,,2014,11,10
1047,2014-11-11,1.0,True,2014-11-10,canceled,2014.0,11.0,11.0,2014,11,10
329,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
329,2015-04-08,29.0,True,2015-03-10,canceled,2015.0,4.0,8.0,2015,3,10
329,,,False,2015-04-08,current,,,,2015,4,8
329,2015-02-03,20.0,True,2015-01-14,canceled,2015.0,2.0,3.0,2015,1,14
329,2015-03-10,35.0,True,2015-02-03,canceled,2015.0,3.0,10.0,2015,2,3
225,,,False,2014-11-10,current,,,,2014,11,10
612,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
612,2015-03-17,7.0,True,2015-03-10,canceled,2015.0,3.0,17.0,2015,3,10
150,2015-05-17,188.0,True,2014-11-10,canceled,2015.0,5.0,17.0,2014,11,10
179,2015-03-17,127.0,True,2014-11-10,canceled,2015.0,3.0,17.0,2014,11,10
595,,,False,2014-11-10,current,,,,2014,11,10
587,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
587,2015-04-17,93.0,True,2015-01-14,canceled,2015.0,4.0,17.0,2015,1,14
587,,,False,2015-05-28,current,,,,2015,5,28
439,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
439,,,False,2015-03-10,current,,,,2015,3,10
428,,,False,2014-11-10,current,,,,2014,11,10
18,2015-02-17,99.0,True,2014-11-10,canceled,2015.0,2.0,17.0,2014,11,10
544,2015-05-17,188.0,True,2014-11-10,canceled,2015.0,5.0,17.0,2014,11,10
10,,,False,2014-11-10,current,,,,2014,11,10
913,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
913,2015-02-17,34.0,True,2015-01-14,canceled,2015.0,2.0,17.0,2015,1,14
23,,,False,2014-11-10,current,,,,2014,11,10
576,2015-02-17,99.0,True,2014-11-10,canceled,2015.0,2.0,17.0,2014,11,10
431,2015-03-17,127.0,True,2014-11-10,canceled,2015.0,3.0,17.0,2014,11,10
223,,,False,2014-11-10,current,,,,2014,11,10
480,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
480,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
480,,,False,2015-04-01,current,,,,2015,4,1
525,2015-07-17,249.0,True,2014-11-10,canceled,2015.0,7.0,17.0,2014,11,10
1111,2015-03-10,119.0,True,2014-11-11,canceled,2015.0,3.0,10.0,2014,11,11
1111,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
1111,2015-04-18,17.0,True,2015-04-01,canceled,2015.0,4.0,18.0,2015,4,1
1107,2014-11-19,8.0,True,2014-11-11,canceled,2014.0,11.0,19.0,2014,11,11
577,2015-01-19,68.0,True,2014-11-12,canceled,2015.0,1.0,19.0,2014,11,12
577,2015-07-12,157.0,True,2015-02-05,canceled,2015.0,7.0,12.0,2015,2,5
92,2015-07-19,249.0,True,2014-11-12,canceled,2015.0,7.0,19.0,2014,11,12
335,2015-05-19,188.0,True,2014-11-12,canceled,2015.0,5.0,19.0,2014,11,12
275,2014-11-16,4.0,True,2014-11-12,canceled,2014.0,11.0,16.0,2014,11,12
275,,,False,2014-11-16,current,,,,2014,11,16
930,2014-11-17,4.0,True,2014-11-13,canceled,2014.0,11.0,17.0,2014,11,13
245,,,False,2014-11-14,current,,,,2014,11,14
135,,,False,2014-11-14,current,,,,2014,11,14
37,,,False,2014-11-14,current,,,,2014,11,14
740,2014-11-15,1.0,True,2014-11-14,canceled,2014.0,11.0,15.0,2014,11,14
740,2014-11-13,2.0,True,2014-11-11,canceled,2014.0,11.0,13.0,2014,11,11
186,,,False,2014-11-14,current,,,,2014,11,14
389,,,False,2014-11-15,current,,,,2014,11,15
389,2014-11-15,1.0,True,2014-11-14,canceled,2014.0,11.0,15.0,2014,11,14
1218,2014-11-15,0.0,True,2014-11-15,canceled,2014.0,11.0,15.0,2014,11,15
693,2015-01-14,60.0,True,2014-11-15,canceled,2015.0,1.0,14.0,2014,11,15
693,2015-01-23,9.0,True,2015-01-14,canceled,2015.0,1.0,23.0,2015,1,14
770,2014-11-19,4.0,True,2014-11-15,canceled,2014.0,11.0,19.0,2014,11,15
88,2015-03-10,115.0,True,2014-11-15,canceled,2015.0,3.0,10.0,2014,11,15
88,,,False,2015-04-01,current,,,,2015,4,1
88,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
845,2014-11-23,7.0,True,2014-11-16,canceled,2014.0,11.0,23.0,2014,11,16
983,2015-01-14,59.0,True,2014-11-16,canceled,2015.0,1.0,14.0,2014,11,16
983,2015-01-23,9.0,True,2015-01-14,canceled,2015.0,1.0,23.0,2015,1,14
1118,2014-12-24,37.0,True,2014-11-17,canceled,2014.0,12.0,24.0,2014,11,17
1118,2014-11-17,5.0,True,2014-11-12,canceled,2014.0,11.0,17.0,2014,11,12
499,2014-11-17,0.0,True,2014-11-17,canceled,2014.0,11.0,17.0,2014,11,17
499,2015-05-13,96.0,True,2015-02-06,canceled,2015.0,5.0,13.0,2015,2,6
590,2015-02-03,62.0,True,2014-12-03,canceled,2015.0,2.0,3.0,2014,12,3
590,,,False,2015-05-11,current,,,,2015,5,11
590,2015-03-10,35.0,True,2015-02-03,canceled,2015.0,3.0,10.0,2015,2,3
264,2015-02-03,62.0,True,2014-12-03,canceled,2015.0,2.0,3.0,2014,12,3
264,2015-02-25,22.0,True,2015-02-03,canceled,2015.0,2.0,25.0,2015,2,3
300,,,False,2014-12-03,current,,,,2014,12,3
54,,,False,2014-12-03,current,,,,2014,12,3
1043,2014-12-04,1.0,True,2014-12-03,canceled,2014.0,12.0,4.0,2014,12,3
1130,2015-01-25,53.0,True,2014-12-03,canceled,2015.0,1.0,25.0,2014,12,3
654,2014-12-04,0.0,True,2014-12-04,canceled,2014.0,12.0,4.0,2014,12,4
654,2014-12-04,0.0,True,2014-12-04,canceled,2014.0,12.0,4.0,2014,12,4
654,2014-12-03,0.0,True,2014-12-03,canceled,2014.0,12.0,3.0,2014,12,3
736,2015-03-11,97.0,True,2014-12-04,canceled,2015.0,3.0,11.0,2014,12,4
964,2014-12-04,0.0,True,2014-12-04,canceled,2014.0,12.0,4.0,2014,12,4
976,2015-01-11,38.0,True,2014-12-04,canceled,2015.0,1.0,11.0,2014,12,4
1203,2014-12-09,5.0,True,2014-12-04,canceled,2014.0,12.0,9.0,2014,12,4
278,,,False,2014-12-04,current,,,,2014,12,4
377,,,False,2014-12-05,current,,,,2014,12,5
342,,,False,2014-12-05,current,,,,2014,12,5
358,,,False,2014-12-05,current,,,,2014,12,5
316,2015-06-13,189.0,True,2014-12-06,canceled,2015.0,6.0,13.0,2014,12,6
347,2015-03-14,97.0,True,2014-12-07,canceled,2015.0,3.0,14.0,2014,12,7
347,,,False,2015-04-05,current,,,,2015,4,5
295,2014-12-07,0.0,True,2014-12-07,canceled,2014.0,12.0,7.0,2014,12,7
295,,,False,2015-04-03,current,,,,2015,4,3
343,2015-03-14,97.0,True,2014-12-07,canceled,2015.0,3.0,14.0,2014,12,7
1127,2014-12-08,1.0,True,2014-12-07,canceled,2014.0,12.0,8.0,2014,12,7
1076,2014-12-12,4.0,True,2014-12-08,canceled,2014.0,12.0,12.0,2014,12,8
502,,,False,2014-12-08,current,,,,2014,12,8
502,2014-11-21,6.0,True,2014-11-15,canceled,2014.0,11.0,21.0,2014,11,15
1223,2014-12-13,5.0,True,2014-12-08,canceled,2014.0,12.0,13.0,2014,12,8
221,2015-02-10,69.0,True,2014-12-03,canceled,2015.0,2.0,10.0,2014,12,3
631,2014-12-08,5.0,True,2014-12-03,canceled,2014.0,12.0,8.0,2014,12,3
631,2015-07-15,68.0,True,2015-05-08,canceled,2015.0,7.0,15.0,2015,5,8
495,,,False,2014-12-04,current,,,,2014,12,4
495,2014-11-17,5.0,True,2014-11-12,canceled,2014.0,11.0,17.0,2014,11,12
1009,2015-02-12,69.0,True,2014-12-05,canceled,2015.0,2.0,12.0,2014,12,5
364,,,False,2014-12-05,current,,,,2014,12,5
1252,2014-12-11,6.0,True,2014-12-05,canceled,2014.0,12.0,11.0,2014,12,5
909,2014-12-28,23.0,True,2014-12-05,canceled,2014.0,12.0,28.0,2014,12,5
1156,2014-12-08,2.0,True,2014-12-06,canceled,2014.0,12.0,8.0,2014,12,6
524,2015-02-03,59.0,True,2014-12-06,canceled,2015.0,2.0,3.0,2014,12,6
524,,,False,2015-03-04,current,,,,2015,3,4
560,,,False,2014-12-06,current,,,,2014,12,6
570,,,False,2014-12-07,current,,,,2014,12,7
581,,,False,2014-12-07,current,,,,2014,12,7
759,2015-02-03,57.0,True,2014-12-08,canceled,2015.0,2.0,3.0,2014,12,8
759,2015-04-15,7.0,True,2015-04-08,canceled,2015.0,4.0,15.0,2015,4,8
759,2015-04-08,64.0,True,2015-02-03,canceled,2015.0,4.0,8.0,2015,2,3
896,2015-02-03,57.0,True,2014-12-08,canceled,2015.0,2.0,3.0,2014,12,8
896,2015-04-08,29.0,True,2015-03-10,canceled,2015.0,4.0,8.0,2015,3,10
896,2015-03-10,35.0,True,2015-02-03,canceled,2015.0,3.0,10.0,2015,2,3
896,,,False,2015-04-08,current,,,,2015,4,8
346,,,False,2014-12-08,current,,,,2014,12,8
346,2014-12-05,0.0,True,2014-12-05,canceled,2014.0,12.0,5.0,2014,12,5
411,2015-02-03,57.0,True,2014-12-08,canceled,2015.0,2.0,3.0,2014,12,8
411,2015-04-08,29.0,True,2015-03-10,canceled,2015.0,4.0,8.0,2015,3,10
411,2015-03-10,35.0,True,2015-02-03,canceled,2015.0,3.0,10.0,2015,2,3
411,2015-06-15,68.0,True,2015-04-08,canceled,2015.0,6.0,15.0,2015,4,8
705,2014-12-14,6.0,True,2014-12-08,canceled,2014.0,12.0,14.0,2014,12,8
705,2015-04-28,20.0,True,2015-04-08,canceled,2015.0,4.0,28.0,2015,4,8
776,2015-02-03,57.0,True,2014-12-08,canceled,2015.0,2.0,3.0,2014,12,8
557,2015-02-03,57.0,True,2014-12-08,canceled,2015.0,2.0,3.0,2014,12,8
557,,,False,2015-03-10,current,,,,2015,3,10
557,2015-03-10,35.0,True,2015-02-03,canceled,2015.0,3.0,10.0,2015,2,3
1234,2014-12-14,5.0,True,2014-12-09,canceled,2014.0,12.0,14.0,2014,12,9
634,2015-06-16,189.0,True,2014-12-09,canceled,2015.0,6.0,16.0,2014,12,9
1124,2015-02-03,56.0,True,2014-12-09,canceled,2015.0,2.0,3.0,2014,12,9
1124,,,False,2015-04-08,current,,,,2015,4,8
1124,2015-04-08,64.0,True,2015-02-03,canceled,2015.0,4.0,8.0,2015,2,3
932,2015-01-16,38.0,True,2014-12-09,canceled,2015.0,1.0,16.0,2014,12,9
817,2014-12-09,0.0,True,2014-12-09,canceled,2014.0,12.0,9.0,2014,12,9
169,2014-12-14,5.0,True,2014-12-09,canceled,2014.0,12.0,14.0,2014,12,9
169,2015-08-12,188.0,True,2015-02-05,canceled,2015.0,8.0,12.0,2015,2,5
350,,,False,2015-01-07,current,,,,2015,1,7
345,,,False,2015-01-07,current,,,,2015,1,7
1171,2015-01-07,0.0,True,2015-01-07,canceled,2015.0,1.0,7.0,2015,1,7
530,,,False,2015-01-07,current,,,,2015,1,7
383,,,False,2015-01-07,current,,,,2015,1,7
1271,2015-01-13,6.0,True,2015-01-07,canceled,2015.0,1.0,13.0,2015,1,7
229,2015-06-14,158.0,True,2015-01-07,canceled,2015.0,6.0,14.0,2015,1,7
876,2015-01-11,3.0,True,2015-01-08,canceled,2015.0,1.0,11.0,2015,1,8
622,2015-06-15,158.0,True,2015-01-08,canceled,2015.0,6.0,15.0,2015,1,8
1065,2015-01-11,3.0,True,2015-01-08,canceled,2015.0,1.0,11.0,2015,1,8
884,2015-01-08,0.0,True,2015-01-08,canceled,2015.0,1.0,8.0,2015,1,8
730,2015-01-30,22.0,True,2015-01-08,canceled,2015.0,1.0,30.0,2015,1,8
905,2015-03-15,66.0,True,2015-01-08,canceled,2015.0,3.0,15.0,2015,1,8
356,,,False,2015-01-09,current,,,,2015,1,9
1164,2015-01-14,5.0,True,2015-01-09,canceled,2015.0,1.0,14.0,2015,1,9
170,2015-08-16,219.0,True,2015-01-09,canceled,2015.0,8.0,16.0,2015,1,9
467,2015-07-02,173.0,True,2015-01-10,canceled,2015.0,7.0,2.0,2015,1,10
780,2015-02-18,38.0,True,2015-01-11,canceled,2015.0,2.0,18.0,2015,1,11
418,2015-07-18,188.0,True,2015-01-11,canceled,2015.0,7.0,18.0,2015,1,11
1074,2015-03-10,58.0,True,2015-01-11,canceled,2015.0,3.0,10.0,2015,1,11
1074,2015-04-18,39.0,True,2015-03-10,canceled,2015.0,4.0,18.0,2015,3,10
859,2015-02-18,38.0,True,2015-01-11,canceled,2015.0,2.0,18.0,2015,1,11
859,2014-11-22,7.0,True,2014-11-15,canceled,2014.0,11.0,22.0,2014,11,15
91,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
91,,,False,2015-03-10,current,,,,2015,3,10
12,,,False,2014-11-10,current,,,,2014,11,10
3,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
3,,,False,2015-03-10,current,,,,2015,3,10
157,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
157,2015-07-17,129.0,True,2015-03-10,canceled,2015.0,7.0,17.0,2015,3,10
224,,,False,2014-11-10,current,,,,2014,11,10
562,,,False,2014-11-10,current,,,,2014,11,10
1098,,,False,2014-11-10,current,,,,2014,11,10
378,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
378,2015-04-17,38.0,True,2015-03-10,canceled,2015.0,4.0,17.0,2015,3,10
1214,2015-01-15,66.0,True,2014-11-10,canceled,2015.0,1.0,15.0,2014,11,10
483,2015-04-20,161.0,True,2014-11-10,canceled,2015.0,4.0,20.0,2014,11,10
1094,2014-12-17,37.0,True,2014-11-10,canceled,2014.0,12.0,17.0,2014,11,10
882,2014-12-17,37.0,True,2014-11-10,canceled,2014.0,12.0,17.0,2014,11,10
412,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
412,,,False,2015-04-01,current,,,,2015,4,1
412,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
390,,,False,2014-11-10,current,,,,2014,11,10
366,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
366,2015-04-17,16.0,True,2015-04-01,canceled,2015.0,4.0,17.0,2015,4,1
366,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
81,,,False,2014-11-10,current,,,,2014,11,10
696,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
696,2015-01-20,6.0,True,2015-01-14,canceled,2015.0,1.0,20.0,2015,1,14
892,2014-11-12,2.0,True,2014-11-10,canceled,2014.0,11.0,12.0,2014,11,10
1142,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
1142,2015-07-17,129.0,True,2015-03-10,canceled,2015.0,7.0,17.0,2015,3,10
1142,2015-03-10,55.0,True,2015-01-14,canceled,2015.0,3.0,10.0,2015,1,14
234,,,False,2014-11-11,current,,,,2014,11,11
148,2015-03-10,119.0,True,2014-11-11,canceled,2015.0,3.0,10.0,2014,11,11
148,2015-04-18,17.0,True,2015-04-01,canceled,2015.0,4.0,18.0,2015,4,1
148,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
630,2015-03-18,127.0,True,2014-11-11,canceled,2015.0,3.0,18.0,2014,11,11
1083,2014-11-12,1.0,True,2014-11-11,canceled,2014.0,11.0,12.0,2014,11,11
1011,2014-11-12,1.0,True,2014-11-11,canceled,2014.0,11.0,12.0,2014,11,11
1011,2015-05-15,37.0,True,2015-04-08,canceled,2015.0,5.0,15.0,2015,4,8
1114,2014-11-18,6.0,True,2014-11-12,canceled,2014.0,11.0,18.0,2014,11,12
161,2015-05-19,188.0,True,2014-11-12,canceled,2015.0,5.0,19.0,2014,11,12
441,2015-06-19,219.0,True,2014-11-12,canceled,2015.0,6.0,19.0,2014,11,12
712,2015-03-20,127.0,True,2014-11-13,canceled,2015.0,3.0,20.0,2014,11,13
273,,,False,2014-11-14,current,,,,2014,11,14
76,2014-11-15,1.0,True,2014-11-14,canceled,2014.0,11.0,15.0,2014,11,14
76,,,False,2015-01-15,current,,,,2015,1,15
76,2015-01-15,61.0,True,2014-11-15,canceled,2015.0,1.0,15.0,2014,11,15
938,2015-01-16,63.0,True,2014-11-14,canceled,2015.0,1.0,16.0,2014,11,14
131,,,False,2014-11-14,current,,,,2014,11,14
