"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"
        "5","nm0000358","Wed Nov 14 16:04:30 2012","Sat Jan 31 07:37:55 2015","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 3
Oscar Nominations: 5
BAFTA Awards: 4
BAFTA Nominations: 6
Golden Globes: 2
Golden Globe Nominations: 7

Greatest Performances: 

""Lincoln"" - Level of Difficulty - 5 Stars
""My Left Foot"" - Level of Difficulty - 5 Stars
""There Will Be Blood"" - Level of Difficulty - 5 Stars","Daniel Day-Lewis","Actor, <a href=""http://www.imdb.com/title/tt0469494"">There Will Be Blood</a>","1957-04-29"


        "6","nm0000163","Wed Nov 14 16:02:30 2012","Sat Jun 29 14:20:52 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: 4
BAFTA Nominations: 10
Golden Globes: 5
Golden Globe Nominations: 13

Greatest Performances: 

""Rain Man"" - Level of Difficulty - 5 Stars 
""Midnight Cowboy"" - Level of Difficulty - 4.8 Stars
""Kramer vs. Kramer"" - Level of Difficulty - 4.6 Stars","Dustin Hoffman","Actor, <a href=""http://www.imdb.com/title/tt0079417"">Kramer vs. Kramer</a>","1937-08-08"


        "7","nm0000158","Wed Nov 14 16:02:21 2012","Fri May 23 21:17:06 2014","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 4
Golden Globe Nominations: 8

Greatest Performances: 

""Forrest Gump"" - Level of Difficulty - 5 Stars
""Philadelphia"" - Level of Difficulty - 4.8 Stars
""Saving Private Ryan"" - Level of Difficulty - 4.7 Stars","Tom Hanks","Actor, <a href=""http://www.imdb.com/title/tt0382625"">The Da Vinci Code</a>","1956-07-09"


        "8","nm0000164","Wed Nov 14 16:02:42 2012","Sat Jun 29 14:17:07 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 9
Golden Globes: 0
Golden Globe Nominations: 6

Greatest Performances: 

""Nixon"" - Level of Difficulty - 4.8 Stars
""Silence of the Lambs"" - Level of Difficulty - 5 Stars
""The Remains of the Day"" - Level of Difficulty - 4.8 Stars","Anthony Hopkins","Actor, <a href=""http://www.imdb.com/title/tt0212985"">Hannibal</a>","1937-12-31"


        "9","nm0000056","Wed Nov 14 16:03:04 2012","Sat Sep 28 19:55:17 2013","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 10
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 3
Golden Globe Nominations: 12

Greatest Performances:

""The Verdict"" - Level of Difficulty - 4.7 Stars
""Road to Perdition"" - Level of Difficulty - 4.7 Stars
""The Color of Money"" - Level of Difficulty - 4.8 Stars","Paul Newman","Actor, <a href=""http://www.imdb.com/title/tt0064115"">Butch Cassidy and the Sundance Kid</a>","1925-01-26"


        "10","nm0000243","Wed Nov 14 16:05:57 2012","Sat Sep 28 19:55:36 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 6
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 2
Golden Globe Nominations: 7

Greatest Performances:

""Glory"" - Level of Difficulty - 4.6 Stars
""Malcolm X"" - Level of Difficulty - 4.8 Stars
""Training Day"" - Level of Difficulty - 5 Stars","Denzel Washington","Actor, <a href=""http://www.imdb.com/title/tt0139654"">Training Day</a>","1954-12-28"


        "11","nm0000075","Thu Nov 15 11:51:52 2012","Thu Oct 29 13:19:58 2015","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 9
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances:

""Boys Town"" - Level of Difficulty - 4.7 Stars
""Captan's Courageous"" - Level of Difficulty - 4.6 Stars                   
""Judgement at Nuremberg"" - Level of Difficulty - 4.7 Stars","Spencer Tracy","Actor, <a href=""http://www.imdb.com/title/tt0055031"">Judgment at Nuremberg</a>","1900-04-05"


        "12","nm0000059","Thu Nov 15 12:04:00 2012","Sat Jun 29 14:44:54 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 11 (1 for Directing)
BAFTA Awards: 2
BAFTA Nominations: 10
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances:

""Hamlet"" - Level of Difficulty - 5 Stars
""Rebecca"" - Level of Difficulty - 4.8 Stars                    
""Spartacus"" - Level of Difficulty - 4.8 Stars","Laurence Olivier","Actor, <a href=""http://www.imdb.com/title/tt0032976"">Rebecca</a>","1907-05-22"


        "13","nm0000493","Thu Nov 15 11:46:07 2012","Sun Jun 30 11:16:09 2013","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 4
Golden Globe Nominations: 22

Greatest Performances:

""Mister Roberts"" - Level of Difficulty - 4.5 Stars
""Save the Tiger"" - Level of Difficulty - 4.7 Stars                    
""Some Like It Hot"" - Level of Difficulty - 4.6 Stars","Jack Lemmon","Actor, <a href=""http://www.imdb.com/title/tt0053604"">The Apartment</a>","1925-02-08"


        "14","nm0000323","Thu Nov 15 11:46:50 2012","Fri Oct 11 12:34:22 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 6
BAFTA Awards: 1
BAFTA Nominations: 8
Golden Globes: 3
Golden Globe Nominations: 12

Greatest Performances:

""Educated Rita"" - Level of Difficulty - 4.8 Stars
""The Cider House Rules"" - Level of Difficulty - 4.7 Stars
""Hannah and Her Sisters"" - Level of Difficulty - 4.6 Stars","Michael Caine","Actor, <a href=""http://www.imdb.com/title/tt0468569"">The Dark Knight</a>","1933-03-14"


        "15","nm0000071","Thu Nov 15 11:57:33 2012","Mon Aug 26 21:44:47 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""It's a Wonderful Life"" - Level of Difficulty - 4.6 Stars
""A Philadelphia Story"" - Level of Difficulty - 4.7 Stars
""Mr. Smith…...Washington"" - Level of Difficulty - 4.7 Stars","James Stewart","Actor, <a href=""http://www.imdb.com/title/tt0047396"">Rear Window</a>","1908-05-20"


        "16","nm0000576","Wed Nov 14 16:06:49 2012","Sat Jun 29 15:05:58 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Milk"" - Level of Difficulty - 5 Stars
""I Am Sam"" - Level of Difficulty - 5 Stars
""Mystic River"" - Level of Difficulty - 5 Stars","Sean Penn","Actor, <a href=""http://www.imdb.com/title/tt0327056"">Mystic River</a>","1960-08-17"


        "17","nm0000245","Thu Nov 15 12:09:30 2012","Tue May 20 12:34:09 2014","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 4
Golden Globe Nominations: 10

Greatest Performances: 

""The Fisher King"" - Level of Difficulty - 4.8 Stars
""Good Will Hunting"" - Level of Difficulty - 4.7 Stars
""Dead Poets Society"" - Level of Difficulty - 4.7 Stars","Robin Williams","Actor, <a href=""http://www.imdb.com/title/tt0119217"">Good Will Hunting</a>","1951-07-21"


        "18","nm0000380","Wed Nov 14 16:03:13 2012","Mon Feb 23 16:34:26 2015","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 7
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 4
Golden Globe Nominations: 7

Greatest Performances:

""The Apostle"" - Level of Difficulty - 4.8 Stars                  
""Tender Mercies"" - Level of Difficulty - 4.6 Stars
""Lonesome Dove"" - Level of Difficulty - 4.7 Stars","Robert Duvall","Actor, <a href=""http://www.imdb.com/title/tt0071562"">The Godfather: Part II</a>","1931-01-05"


        "19","nm0000151","Wed Nov 14 16:06:05 2012","Sat Mar 14 15:39:06 2015","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances:

""Glory"" - Level of Difficulty - 4.6 Stars                  
""Million Dollar Baby' - Level of Difficulty - 4.7 Stars
""The Shawshank Redemption"" - Level of Difficulty - 4.6 Stars","Morgan Freeman","Actor, <a href=""http://www.imdb.com/title/tt0111161"">The Shawshank Redemption</a>","1937-06-01"


        "20","nm0000313","Thu Nov 15 11:54:11 2012","Tue Jun 24 12:58:15 2014","Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 6
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Starman"" - Level of Difficulty - 4.6 Stars
""True Grit"" - Level of Difficulty - 4.7 Stars
""Crazy Heart"" - Level of Difficulty - 5 Stars","Jeff Bridges","Actor, <a href=""http://www.imdb.com/title/tt0118715"">The Big Lebowski</a>","1949-12-04"


        "21","nm0001627","Sat Jun 15 08:19:21 2013","Tue Jul  2 14:04:17 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 7

Greatest Performances: 

""Lilies of the Field"" - Level of Difficulty - 4.7 Stars
""The Defiant Ones"" - Level of Difficulty - 4.6 Stars
""In the Heat of the Night"" - Level of Difficulty - 4.6 Stars","Sidney Poitier","Actor, <a href=""http://www.imdb.com/title/tt0061811"">In the Heat of the Night</a>","1927-02-20"


        "22","nm0000564","Thu Nov 15 11:48:38 2012","Sat Sep 28 19:46:59 2013","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 8
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 4
Golden Globe Nominations: 11

Greatest Performances: 

""Becket"" - Level of Difficulty - 4.7 Stars
""The Lion in Winter"" - Level of Difficulty - 4.7 Stars
""Lawrence of Arabia"" - Level of Difficulty - 4.8 Stars","Peter O'Toole","Actor, <a href=""http://www.imdb.com/title/tt0056172"">Lawrence of Arabia</a>","1932-08-02"


        "23","nm0000432","Wed Nov 14 16:04:01 2012","Fri Oct 11 12:34:00 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 3
BAFTA Nominations: 7
Golden Globes: 3
Golden Globe Nominations: 8

Greatest Performances:

""Unforgiven"" - Level of Difficulty - 4.6 Stars
""Mississippi Burning"" - Level of Difficulty - 4.7 Stars                  
""The French Connection"" - Level of Difficulty - 4.7 Stars","Gene Hackman","Actor, <a href=""http://www.imdb.com/title/tt0105695"">Unforgiven</a>","1930-01-30"


        "24","nm0000142","Thu Nov 15 11:49:55 2012","Thu Oct 31 15:00:14 2013","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.2 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 2 (Directing)
Oscar Nominations: 7 (6 for Directing)
BAFTA Awards: 0
BAFTA Nominations: 3 (Directing)
Golden Globes: 3 (Directing) 
Golden Globe Nominations: 12 (Directing)

Greatest Performances: 

""Unforgiven"" - Level of Difficulty - 4.4 Stars
""Million Dollar Baby"" - Level of Difficulty - 4.5 Stars
""The Good, the Bad, and the Ugly"" - Level of Difficulty - 4.4 Stars","Clint Eastwood","Actor, <a href=""http://www.imdb.com/title/tt0405159"">Million Dollar Baby</a>","1930-05-31"


        "25","nm0000169","Wed Nov 14 16:08:45 2012","Tue Nov  4 21:05:57 2014","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Lincoln"" - Level of Difficulty - 4.7 Stars
""The Fugitive"" - Level of Difficulty - 4.2 Stars
""In the Valley of Elah"" - Level of Difficulty - 4.8 Stars","Tommy Lee Jones","Actor, <a href=""http://www.imdb.com/title/tt0477348"">No Country for Old Men</a>","1946-09-15"


        "26","nm0001426","Thu Nov 15 11:47:53 2012","Sat Jan  2 13:29:23 2016","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 2
Golden Globe Nominations: 8

Greatest Performances: 

""Gandhi"" - Level of Difficulty - 5 Stars
""Sexy Beast"" - Level of Difficulty - 4.6 Stars
""House of Sand and Fog"" - Level of Difficulty - 4.7 Stars","Ben Kingsley","Actor, <a href=""http://www.imdb.com/title/tt0108052"">Schindler's List</a>","1943-12-31"


        "27","nm0000138","Wed Nov 14 16:07:27 2012","Sat Sep 10 10:53:08 2016","Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.9 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 6 (1 for Producing)
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 2
Golden Globe Nominations: 11

Greatest Performances: 

""The Revenant"" - Level of Difficulty - 4.9 Stars
""The Wolf of Wall Street"" - Level of Difficulty - 4.7 Stars
""What's Eating Gilbert Grape"" - Level of Difficulty - 5 Stars","Leonardo DiCaprio","Actor, <a href=""http://www.imdb.com/title/tt1375666"">Inception</a>","1974-11-11"


        "28","nm0000128","Sat Nov 24 22:56:11 2012","Tue Jun 24 13:00:46 2014","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Gladiator"" - Level of Difficulty - 5 Stars
""The Insider"" - Level of Difficulty - 4.8 Stars
""A Beautiful Mind"" - Level of Difficulty - 4.8 Stars","Russell Crowe","Actor, <a href=""http://www.imdb.com/title/tt0172495"">Gladiator</a>","1964-04-07"


        "29","nm0000450","Wed Nov 14 16:08:03 2012","Thu Oct 31 20:49:31 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Capote"" - Level of Difficulty - 5 Stars
""Doubt"" - Level of Difficulty - 4.8 Stars
""The Master"" - Level of Difficulty - 4.8 Stars","Philip Seymour Hoffman","Actor, <a href=""http://www.imdb.com/title/tt0379725"">Capote</a>","1967-07-23"


        "30","nm0000228","Wed Nov 14 16:10:03 2012","Fri Feb 20 14:56:23 2015","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 8

Greatest Performances: 

""Se7en"" - Level of Difficulty - 4.8 Stars
""American Beauty"" - Level of Difficulty - 5 Stars
""The Usual Suspects"" - Level of Difficulty - 4.8 Stars","Kevin Spacey","Actor, <a href=""http://www.imdb.com/title/tt0169547"">American Beauty</a>","1959-07-26"


        "31","nm0000007","Thu Nov 15 11:45:41 2012","Tue Jun 24 13:02:30 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Casablanca"" - Level of Difficulty - 4.6 Stars
""The Caine Mutiny"" - Level of Difficulty - 4.6 Stars
""The African Queen"" - Level of Difficulty - 4.7 Stars","Humphrey Bogart","Actor, <a href=""http://www.imdb.com/title/tt0034583"">Casablanca</a>","1899-12-25"


        "32","nm0000060","Thu Nov 15 12:06:58 2012","Tue Jun 24 12:59:04 2014","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 6

Greatest Performances: 

""To Kill a Mockingbird"" - Level of Difficulty - 4.6 Stars
""The Boys from Brazil"" - Level of Difficulty - 4.7 Stars
""Gentleman's Agreement"" - Level of Difficulty - 4.6 Stars","Gregory Peck","Actor, <a href=""http://www.imdb.com/title/tt0056592"">To Kill a Mockingbird</a>","1916-04-05"


        "33","nm0000022","Thu Nov 15 12:04:32 2012","Mon Aug 26 21:20:41 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 2

Greatest Performances: 

""Gone with the Wind"" - Level of Difficulty - 4.4 Stars
""Mutiny on the Bounty"" - Level of Difficulty - 4.2 Stars
""It Happened One Night"" - Level of Difficulty - 4.6 Stars","Clark Gable","Actor, <a href=""http://www.imdb.com/title/tt0025316"">It Happened One Night</a>","1901-02-01"


        "34","nm0000011","Fri Apr 12 09:05:46 2013","Tue Jun 24 13:03:17 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""High Noon"" - Level of Difficulty - 4.7 Stars
""Sergeant York"" - Level of Difficulty - 4.7 Stars
""Mr. Deeds Goes to Town"" - Level of Difficulty - 4.6 Stars","Gary Cooper","Actor, <a href=""http://www.imdb.com/title/tt0044706"">High Noon</a>","1901-05-07"


        "35","nm0001715","Thu Nov 15 11:46:36 2012","Mon Aug 26 21:40:03 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances: 

""Patton"" - Level of Difficulty - 4.6 Stars
""The Hustler"" - Level of Difficulty - 4.7 Stars
""The Hospital"" - Level of Difficulty - 4.8 Stars","George C. Scott","Actor, <a href=""http://www.imdb.com/title/tt0057012"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>","1927-10-18"


        "36","nm0001673","Thu Nov 15 11:59:10 2012","Mon Jul  1 09:44:50 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Julia"" - Level of Difficulty - 4.8 Stars
""Melvin and Howard"" - Level of Difficulty - 4.7 Stars
""All the President's Men"" - Level of Difficulty - 4.6 Stars","Jason Robards","Actor, <a href=""http://www.imdb.com/title/tt0064116"">Once Upon a Time in the West</a>","1922-07-26"


        "37","nm0000634","Wed Oct 30 12:24:00 2013","Wed Oct 30 12:47:06 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Being There"" - Level of Difficulty - 4.7 Stars
""The Running, Jumping & Standing Still Film"" - Level of Difficulty - 4.6 Stars
""Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"" - Level of Difficulty - 4.8 Stars","Peter Sellers","Actor, <a href=""http://www.imdb.com/title/tt0057012"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>","1925-09-08"


        "38","nm0000063","Wed Jun 22 23:34:14 2016","Thu Jul 21 06:57:19 2016","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Lust for Life"" - Level of Difficulty - 4.7 Stars
""Viva Zapata!"" - Level of Difficulty - 4.9 Stars
""Alexis Zorbas"" - Level of Difficulty - 4.8 Stars","Anthony Quinn","Actor, <a href=""http://www.imdb.com/title/tt0056172"">Lawrence of Arabia</a>","1915-04-21"


        "39","nm0000122","Thu Nov 15 12:02:23 2012","Tue Jun 24 13:04:19 2014","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1 (Music)
Oscar Nominations: 4 (3 for Music/Writing)
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""City Lights"" - Level of Difficulty - 4.8 Stars
""Modern Times"" - Level of Difficulty - 4.7 Stars
""The Great Dictator"" - Level of Difficulty - 4.7 Stars","Charles Chaplin","Writer, <a href=""http://www.imdb.com/title/tt0027977"">Modern Times</a>","1889-04-16"


        "40","nm0000026","Fri Apr 12 09:01:32 2013","Mon Jul  8 09:39:23 2013","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Charade"" - Level of Difficulty - 4.4 Stars
""Penny Serenade"" - Level of Difficulty - 4.4 Stars
""Not But the Lonely Heart"" - Level of Difficulty - 4.5 Stars","Cary Grant","Actor, <a href=""http://www.imdb.com/title/tt0053125"">North by Northwest</a>","1904-01-18"


