,device_id,device_brand,device_model,gender,age,group
98,-4362305766861552901,samsung,Galaxy S4,M,45,M45+
99,6529503111228723634,huawei,G716,M,37,M35-44
100,889613080238683393,samsung,Galaxy S5,M,17,M15-24
101,4171103868476071174,ipair,iPh-800,M,25,M25-34
102,8898479351413322765,htc,One,M,31,M25-34
103,-1381583053559916962,huawei,荣耀3X畅玩版,F,21,F15-24
104,-4652011389239590139,xiaomi,MI 2S,M,33,M25-34
105,-3185442229617570350,samsung,Galaxy S4,M,32,M25-34
106,4038073925690069542,xiaomi,MI 3,M,31,M25-34
107,5539000532445278442,huawei,G610S,F,31,F25-34
108,-9079342812768398424,meizu,MX2,F,25,F25-34
109,4756071250979937377,lenovo,S920,M,38,M35-44
110,-7380248691354556178,oppo,1105,M,31,M25-34
111,-4932625531277503048,xiaomi,MI 1S,F,39,F35-44
112,-7125295786558921645,samsung,Galaxy Mega 5.8,M,30,M25-34
113,4378598415671089718,cool,7295+,M,28,M25-34
114,-6450682188526629168,huawei,G620-L75,F,30,F25-34
115,-2506093401230353546,samsung,Galaxy S3,F,20,F15-24
116,-4490457559861910569,huawei,Mate,F,39,F35-44
117,4754537897862981779,xiaomi,MI 1S,M,37,M35-44
118,6462230981489102021,huawei,荣耀3C,F,67,F45+
119,-1907921814178974228,xiaomi,MI 2,F,34,F25-34
120,8848826597816565253,xiaomi,MI 2A,M,24,M15-24
121,-674398780003592777,lenovo,A850,M,51,M45+
122,556925098589606951,samsung,Galaxy S4,F,25,F25-34
123,-5168596823087637240,samsung,Galaxy Note 3,F,36,F35-44
124,-237656175599040261,samsung,Galaxy Note 2,M,32,M25-34
125,-8021599568448339440,xiaomi,MI 2S,F,46,F45+
126,-4980856059667344131,meizu,MX3,M,21,M15-24
127,-1212561962665758183,oppo,Find 5,M,35,M35-44
128,-1703075732112237386,samsung,Galaxy Note 2,F,31,F25-34
129,-1630035972765737773,xiaomi,MI 3,M,28,M25-34
130,-9018246443478913868,samsung,Galaxy Ace 2,F,20,F15-24
131,-473063370686494235,xiaomi,MI 2S,F,26,F25-34
132,-7980117689705723887,huawei,荣耀3C,M,27,M25-34
133,-6705737572680864998,samsung,Galaxy S4,M,31,M25-34
134,6260853395718018182,lenovo,A3000-H,M,28,M25-34
135,-53133328989290027,samsung,Galaxy Note 3,M,33,M25-34
136,3658830885050322341,vivo,Y17W,M,37,M35-44
137,-7002624998133830704,samsung,Galaxy Note 2,F,27,F25-34
138,5699929136592398294,samsung,Galaxy Trend DUOS,F,34,F25-34
139,-5344972461857711915,xiaomi,MI 2S,F,19,F15-24
140,3812586173865101994,gionee,X805,M,48,M45+
141,-1280461839433921774,cool,F2,M,20,M15-24
142,319358606834819637,huawei,MT1-U06,M,33,M25-34
143,3306064521123288224,meizu,MX3,F,25,F25-34
144,5565458645200912216,xiaomi,MI 2S,F,26,F25-34
145,3495968421260619426,huawei,X1 7.0,F,29,F25-34
146,-290040646156334881,samsung,Galaxy Note 3,M,41,M35-44
147,-5657154192230825082,youmi,3,M,23,M15-24
148,-3848105495725128477,samsung,Galaxy Grand 2,F,21,F15-24
149,-1143301917081542570,xiaomi,MI 3,M,35,M35-44
150,2129293986626915002,vivo,Xplay,M,37,M35-44
151,4268333055645071754,xiaomi,red rice,M,26,M25-34
152,4110551735503618236,xiaomi,MI 3,M,25,M25-34
153,-3069886997298060242,vivo,Xplay3S,M,28,M25-34
154,8714702739851989931,gionee,F301,M,31,M25-34
155,-3941816237190969062,samsung,Galaxy Trend 3,M,36,M35-44
156,3731031439707010484,cool,大神F1,F,30,F25-34
157,2250098331394705324,xiaomi,MI 2S,M,30,M25-34
158,-7239633143742472761,samsung,Galaxy Grand 2,F,32,F25-34
159,1643086037095087965,xiaomi,红米note,M,28,M25-34
160,-3002214098032063931,xiaomi,MI 2S,M,22,M15-24
161,6468271719757089818,索尼,Xperia Z,M,37,M35-44
162,3588458175289907956,meizu,MX3,M,30,M25-34
163,-5616386202752351153,xiaomi,红米1S,M,25,M25-34
164,-7445953743365025922,xiaomi,MI 3,M,39,M35-44
165,-4109163024286574184,htc,One,M,22,M15-24
166,-3023667181932764821,xiaomi,MI One Plus,M,41,M35-44
167,3498024925930022594,cool,5891,F,54,F45+
168,8856984144557122337,logo,M2,F,73,F45+
169,4064386113517598682,xiaomi,MI 2S,F,28,F25-34
170,8802247658835316864,xiaomi,MI 3,F,27,F25-34
171,638995909210571346,xiaomi,MI 2S,M,38,M35-44
172,4529197261239100073,huawei,荣耀3C,M,26,M25-34
173,-1379837059745495313,huawei,MT2-C00,M,38,M35-44
174,7096223572967434171,vivo,X3T,F,17,F15-24
175,-3764165812968193048,vivo,X3T,F,25,F25-34
176,-2750954829449700459,huawei,荣耀3C,F,24,F15-24
177,-3467938763247260796,samsung,SCH-I939,M,17,M15-24
178,160583077198552302,huawei,荣耀3C畅玩版,F,41,F35-44
179,-1938365211710149571,cool,7295+,M,24,M15-24
180,4726452618128667511,meizu,MX3,F,25,F25-34
181,-1868884014377187671,huawei,荣耀3C,M,28,M25-34
182,-6013876179595797366,oppo,R827T,F,28,F25-34
183,3076865432545446566,xiaomi,red rice,M,32,M25-34
184,-3742146736573288233,huawei,G610S,M,45,M45+
185,-6233842042825363929,huawei,Ascend P7,M,37,M35-44
186,-2696491683874973028,xiaomi,MI 2S,M,18,M15-24
187,5564596875697673103,xiaomi,MI 2S,F,36,F35-44
188,-2066592557978246390,samsung,Galaxy Note 3,M,36,M35-44
189,-2823030071365684879,huawei,荣耀畅玩4,F,26,F25-34
190,4356124957866782712,samsung,I8268,F,19,F15-24
191,-783461302665023321,xiaomi,MI 3,F,30,F25-34
192,-5104856548201158279,huawei,荣耀U8860,M,31,M25-34
193,7375530166026237221,huawei,荣耀3C,F,23,F15-24
194,-7963618505599710479,Ktouch,Touch 3,M,35,M35-44
195,-8146330484087107582,vivo,Y11IT,F,25,F25-34
196,-6313145876363269845,samsung,Galaxy S4,M,29,M25-34
197,-5296418300896797838,huawei,Mate 2,F,59,F45+
198,-6394392743718556244,lenovo,A708t,F,32,F25-34
199,-7892887279057220812,xiaomi,MI 2A,F,20,F15-24
200,7869822025744000236,xiaomi,MI 2S,M,21,M15-24
201,-969155715835117480,xiaomi,MI 2S,M,23,M15-24
202,6044989705027419768,huawei,荣耀3C,F,26,F25-34
203,-7356221032169648606,索尼,Xperia Z,F,35,F35-44
204,-4826068017221527192,索尼,Xperia Z,M,33,M25-34
205,-634470695781227967,xiaomi,MI 2S,F,25,F25-34
206,502069315094242840,huawei,G520-5000,M,22,M15-24
207,-4498499266114921640,samsung,Galaxy Note 3,F,37,F35-44
208,-8099888953694075130,huawei,G610S,M,50,M45+
209,-58818459434431223,samsung,Galaxy S4,F,59,F45+
210,3818136434218093808,huawei,荣耀3C,M,29,M25-34
211,5457055855116989922,samsung,Galaxy Note 3,M,53,M45+
212,2842957504417113295,samsung,Galaxy Note 2,F,48,F45+
213,-2313846161543312283,xiaomi,MI 2S,M,26,M25-34
214,4054027913642812540,samsung,Galaxy Note 3,F,29,F25-34
215,-3911394669979269078,huawei,U9508,M,30,M25-34
216,-1973971742920662058,huawei,C8813,M,19,M15-24
217,-8712031044544505519,xiaomi,MI 1S,M,21,M15-24
218,7643312853957403534,samsung,Galaxy Note 3,F,30,F25-34
219,-7612851865363590715,samsung,Galaxy S4,F,26,F25-34
220,2923374417462588035,huawei,X1 7.0,F,24,F15-24
221,-8275239824093736814,xiaomi,MI 1S,M,27,M25-34
222,-7737825269886520934,htc,802w,F,22,F15-24
223,-460743165186589529,索尼,Xperia P,M,27,M25-34
224,-3214367734669529272,xiaomi,MI 2S,F,25,F25-34
225,3952905072530994196,xiaomi,MI 1S,M,24,M15-24
226,440317153601571015,xiaomi,red rice,M,26,M25-34
227,2824583015876316799,samsung,Galaxy S3,M,24,M15-24
228,6948609500853592665,xiaomi,红米1S,M,59,M45+
229,-4204742700522101711,samsung,Galaxy Trend 3,M,28,M25-34
230,-8767577656847695350,samsung,Galaxy Note 3,F,33,F25-34
231,-5518842978165649229,oppo,Find 5,F,34,F25-34
232,-8957130211871661109,huawei,Y600-U00,M,30,M25-34
233,-3864680059727045704,samsung,Galaxy S4,F,42,F35-44
234,3691762732518833899,samsung,Galaxy Note 3,M,27,M25-34
235,1084036673639209952,tcl,S720,M,26,M25-34
236,8011362894930511077,xiaomi,MI 2S,F,27,F25-34
237,6690931827048339757,samsung,Galaxy S4,F,24,F15-24
238,-8883185524578375509,samsung,Galaxy S3,M,27,M25-34
239,867574394517328518,xiaomi,red rice,M,19,M15-24
240,4743813508458930653,xiaomi,MI 3,F,45,F45+
241,3772851842051402160,xiaomi,MI 2,M,27,M25-34
242,-5322577327270229998,xiaomi,MI 2S,M,37,M35-44
243,8650803071674410282,xiaomi,MI 3,F,29,F25-34
244,6327004567252588764,nubia,Z9 mini,M,54,M45+
245,719166838664858135,xiaomi,红米1S,M,26,M25-34
246,-3752627150889581601,huawei,荣耀3X畅玩版,M,30,M25-34
247,-1649173611732796011,huawei,Ascend G6,F,25,F25-34
248,-8448590394900141907,xiaomi,MI 2S,M,27,M25-34
249,-8345274263736281074,Ktouch,Touch 2,F,44,F35-44
250,7756294367782525584,meizu,MX2,F,23,F15-24
251,-5337450843032657373,lenovo,S880i,F,26,F25-34
252,-6278068860089135361,huawei,荣耀6,F,34,F25-34
253,6976440301978382456,huawei,Y600-U00,M,19,M15-24
254,-7278706289242723763,xiaomi,red rice,M,25,M25-34
255,2289608156050948697,xiaomi,MI 2S,F,24,F15-24
256,-5598320326073454024,oppo,R1S,M,56,M45+
257,-3532982159223273696,samsung,Galaxy Note 3,F,40,F35-44
258,-4758763268239164813,xiaomi,MI 3,M,24,M15-24
259,-1622561733905307490,samsung,Galaxy Mega 5.8,F,31,F25-34
260,4196066886244994506,lenovo,A708t,F,20,F15-24
261,-3960627137019309038,cool,8720L,F,26,F25-34
262,7773809107520762776,vivo,Y11,F,40,F35-44
263,6316499693080704607,lenovo,S890,F,37,F35-44
264,-6470395078345429158,xiaomi,红米1S,M,20,M15-24
265,-4290099277020938582,cool,7231,F,34,F25-34
266,7499250711512880299,samsung,Galaxy S3,F,28,F25-34
267,-8029327144157066082,samsung,Galaxy S4,M,26,M25-34
268,-4156403346130050221,xiaomi,红米1S,F,33,F25-34
269,-196497377250186833,vivo,Y17W,F,47,F45+
270,-5047657330169981851,samsung,Galaxy Note 3,F,30,F25-34
271,-1011098932577010890,nubia,Z5S Mini,F,44,F35-44
272,-388664968156520948,huawei,荣耀畅玩4,F,42,F35-44
273,2671708119144790079,samsung,Galaxy Grand 2,M,33,M25-34
274,-1965994797113280876,samsung,Galaxy Note 3,M,58,M45+
275,3217346292151516316,huawei,荣耀3C,M,24,M15-24
276,7515159941624534067,zte corporation,U807,M,32,M25-34
277,182608333165771600,xiaomi,red rice,F,32,F25-34
278,-4297959145812123061,huawei,荣耀6,M,26,M25-34
279,-3974788062025040634,htc,One,F,23,F15-24
280,3070846451889915465,huawei,荣耀3C,M,29,M25-34
281,-4401760730293002977,xiaomi,MI 3,M,35,M35-44
282,6788214305092530469,samsung,Galaxy Note 3,M,26,M25-34
283,4445197977526298765,cool,大神F1,M,37,M35-44
284,5906086384670958868,lenovo,A670t,M,22,M15-24
285,3292465402515504043,huawei,荣耀3X畅玩版,F,23,F15-24
286,-4434591576012966834,samsung,Galaxy S3,M,44,M35-44
287,8934485200367434517,samsung,Galaxy Trend DUOS,M,32,M25-34
288,7602675074380111955,huawei,荣耀3C,M,43,M35-44
289,-2168009681997135088,samsung,Galaxy Mega 6.3,F,36,F35-44
290,5460475200473896904,samsung,Galaxy S3,F,35,F35-44
291,521542743333556922,meizu,MX2,F,19,F15-24
292,1036100338929020211,xiaomi,MI 3,F,25,F25-34
293,-2453658892011387282,samsung,Galaxy S4,M,25,M25-34
294,5867012969406924556,oppo,R1S,M,24,M15-24
295,-5115628456682712558,samsung,Galaxy S4,M,23,M15-24
296,-7932826087705968179,xiaomi,MI 2S,M,24,M15-24
297,-2016232672180035619,meizu,MX3,F,28,F25-34
298,-6352692155487628723,xiaomi,MI 3,M,22,M15-24
299,-6075909792099692352,huawei,荣耀3X畅玩版,M,22,M15-24
300,1794950025588957245,vivo,Xplay,F,21,F15-24
301,425932513224863950,meizu,MX2,M,25,M25-34
302,1830264951327087885,xiaomi,红米1S,M,23,M15-24
303,3244439560122596299,ipair,iPh-800,M,23,M15-24
304,-4338033198765387707,xiaomi,红米1S,M,53,M45+
305,3808747726168214598,xiaomi,MI 2S,M,19,M15-24
306,-1164654477511409238,oppo,R831S,F,21,F15-24
307,-1084908569832013005,lenovo,S868t,M,29,M25-34
308,439499907236844481,samsung,Galaxy Grand 2,F,33,F25-34
309,-3356784421890773574,xiaomi,red rice,F,54,F45+
310,-8426834882589918052,huawei,荣耀6,M,27,M25-34
311,-3007290059075922008,xiaomi,MI 2S,F,31,F25-34
312,8109613486318549660,oppo,Find 7,M,29,M25-34
313,6901717289584452918,xiaomi,红米1S,F,46,F45+
314,-5833812227830547462,xiaomi,MI 2S,F,49,F45+
315,-6727640168051415776,samsung,Galaxy S5,F,28,F25-34
316,-6957350579117975931,samsung,Galaxy S3,F,27,F25-34
317,3396094658840776754,samsung,Galaxy S4,M,20,M15-24
318,2374742660994836562,xiaomi,MI 3,F,39,F35-44
319,-714704861738623762,huawei,G730-U00,M,30,M25-34
320,-488763375232418468,hisense,M20-T,M,26,M25-34
321,-1424690239593850396,lenovo,A828t,F,39,F35-44
322,-1396233806261965345,xiaomi,红米2A,M,31,M25-34
323,6316266737744586717,huawei,G730-T00,F,39,F35-44
324,-2911099473774120481,meizu,MX3,F,25,F25-34
325,-1581525712495798138,xiaomi,MI 2A,M,28,M25-34
326,2521795967454392129,oppo,R821T,M,16,M15-24
327,-6949468384216342667,samsung,Galaxy Note 2,F,43,F35-44
328,1532677334094432331,huawei,荣耀3X畅玩版,F,25,F25-34
329,-2709825883860122953,xiaomi,红米2A,M,38,M35-44
330,-803242747247619527,huawei,Ascend P7,M,45,M45+
331,2257159551899998892,xiaomi,红米1S,M,54,M45+
332,7215388174738168678,xiaomi,红米1S,F,30,F25-34
333,2920503149207166590,xiaomi,MI 2,M,42,M35-44
334,1945760199031842179,samsung,Galaxy Note 2,F,39,F35-44
335,-5745533874460634022,xiaomi,red rice,F,37,F35-44
336,-4763483671125760564,oppo,Find 5,F,39,F35-44
337,-8216566141867725593,samsung,Galaxy Note 3 Lite,F,28,F25-34
338,1177171049252474896,huawei,荣耀3X畅玩版,M,28,M25-34
339,8296244656125147800,samsung,Galaxy Win,F,46,F45+
340,5253861285933243350,samsung,Galaxy Note 10.1,M,28,M25-34
341,-6337232468469637266,vivo,Y15,F,42,F35-44
342,-5392011872764212609,xiaomi,红米1S,M,21,M15-24
343,6872598788753167081,xiaomi,MI 3,F,30,F25-34
344,5521545983483894822,oppo,Find 7,M,33,M25-34
345,-5957123051731490829,samsung,Galaxy S2,F,32,F25-34
346,206601163269902432,xiaomi,MI 1S,M,30,M25-34
347,7864792513803525292,oppo,R821T,F,24,F15-24
348,8601695310286131968,samsung,Galaxy Note 2,F,33,F25-34
349,2388901272349025447,xiaomi,red rice,M,32,M25-34
350,-820531600932058818,huawei,Y516,M,57,M45+
351,-5117743377362882952,vivo,Y20T,F,30,F25-34
352,6908636668121022796,xiaomi,MI 3,M,57,M45+
353,7285624397450411274,vivo,Xplay,M,20,M15-24
354,-8669434979212255679,xiaomi,MI One Plus,F,29,F25-34
355,2896652024169770614,samsung,W2014,M,37,M35-44
356,8080538065935917326,nubia,Z7 Mini,F,22,F15-24
357,7724633756414532826,zte corporation,U818,M,47,M45+
358,4652219419137114079,huawei,荣耀3C,M,21,M15-24
359,-2955298155012431179,xiaomi,MI 2A,M,26,M25-34
360,3945679784298735697,xiaomi,MI 2S,M,28,M25-34
361,1845358998536313220,meitu,2,F,25,F25-34
362,2872446663260008236,xiaomi,MI 2S,F,27,F25-34
363,7449644405837690389,huawei,荣耀3C,M,30,M25-34
364,-6533905809842306886,xiaomi,红米1S,M,32,M25-34
365,-5184184507805267357,huawei,荣耀6,M,33,M25-34
366,-6500122404390229494,cool,F2,F,44,F35-44
367,-5847980053904174683,huawei,Ascend P7,M,31,M25-34
368,-6416612247487307356,samsung,Galaxy Win,M,29,M25-34
369,1775087079038351665,xiaomi,红米note,F,26,F25-34
370,5160298932098979251,xiaomi,MI 3,F,26,F25-34
371,-3269035535666434601,samsung,Galaxy S3,M,16,M15-24
372,-6842169961881438468,meizu,MX3,M,27,M25-34
373,5155447632850165033,huawei,荣耀3C,F,25,F25-34
374,8167671607824554311,huawei,荣耀3X畅玩版,M,38,M35-44
375,4182805849222431764,lenovo,A820t,F,42,F35-44
376,7171641664437133092,vivo,X3S,M,36,M35-44
377,-1807408236200222333,xiaomi,MI 2S,M,31,M25-34
378,-2406909115240747976,samsung,Galaxy Note 3,M,31,M25-34
379,8011226863669745839,xiaomi,红米Note2,F,60,F45+
380,8715423088436458517,xiaomi,红米Note2,F,28,F25-34
381,1221462966759497493,huawei,荣耀3C,M,34,M25-34
382,-958335064747926764,samsung,Galaxy S4,F,28,F25-34
383,3484361259153610104,xiaomi,红米note增强版,M,44,M35-44
384,-5262752809772303045,oppo,Find 7,M,23,M15-24
385,2960733785680786248,huawei,X1 7.0,F,42,F35-44
386,1324908425913059833,lenovo,A388t,M,23,M15-24
387,9177147140085671264,xiaomi,红米1S,M,30,M25-34
388,8991517559224531436,xiaomi,MI 3,F,26,F25-34
389,-4102302046632167261,samsung,Galaxy Note 2,F,34,F25-34
390,-3069188886241828721,vivo,Y613,F,26,F25-34
391,9124209589270159902,samsung,Galaxy S4,M,22,M15-24
392,-7198890815980231933,htc,Desire 816,F,30,F25-34
393,1307769372027035495,xiaomi,红米note增强版,F,24,F15-24
394,2558578319538835845,samsung,Galaxy S3,M,20,M15-24
395,7223107226582338739,xiaomi,MI 3,M,23,M15-24
396,-4224073655333096695,vivo,X3V,M,37,M35-44
397,-799504913359373808,huawei,荣耀6,F,34,F25-34
398,9181971593911175932,samsung,Galaxy S4,F,34,F25-34
399,3990339250376845750,xiaomi,MI 1S,M,34,M25-34
400,7812497003145308546,huawei,荣耀畅玩4X,M,35,M35-44
401,4955629226764962650,huawei,Y600-U00,M,34,M25-34
402,-1013751500369314776,lenovo,A889,M,31,M25-34
403,-9003299201851031902,samsung,Galaxy Note,F,24,F15-24
404,8906380173486098114,cool,7295A青春版,M,41,M35-44
405,-7098187845696953352,xiaomi,red rice,M,34,M25-34
406,-1417447458972996696,nokia,XL,M,54,M45+
407,-8467691555342168594,samsung,Galaxy Note 2,M,32,M25-34
408,-4150329032455453965,xiaomi,MI 2S,F,30,F25-34
409,-1945035485761929247,samsung,Galaxy Mega 6.3,F,43,F35-44
410,1702793955974211476,xiaomi,MI 3,M,21,M15-24
411,-2094082009236210461,samsung,Galaxy Tab 2 P5110,M,38,M35-44
412,-641499781056989425,lenovo,A830,F,31,F25-34
413,-2422464163571074885,huawei,Ascend P7,M,30,M25-34
414,3010458763676088130,lenovo,VIBE X2,M,43,M35-44
415,-8535807774701344439,samsung,Galaxy Note 3,F,29,F25-34
416,5664332400353972428,xiaomi,MI 3,M,34,M25-34
417,6339663731451813620,xiaomi,MI 4,M,24,M15-24
418,7259087228854857444,oppo,R827T,F,30,F25-34
419,5894513453637562423,xiaomi,MI 3,M,28,M25-34
420,-9075127069976071703,xiaomi,red rice,M,25,M25-34
421,3562355872640618177,samsung,Galaxy Note 2,F,46,F45+
422,2515004160299998184,xiaomi,红米1S,F,29,F25-34
423,1467483845896738254,vivo,X3L,F,25,F25-34
424,5672829216105241046,samsung,Galaxy S5,M,55,M45+
425,-5810131372593196850,lenovo,A320t,M,37,M35-44
426,829527338898748920,meizu,MX3,F,25,F25-34
427,-434672924406895561,hisense,X8T,M,30,M25-34
428,3608209923032766663,cool,大神F1,M,30,M25-34
429,4746258248494817064,htc,One E8,M,31,M25-34
430,-6768618277344320011,samsung,Galaxy S4,F,29,F25-34
431,-1017747728250438804,oppo,N1 Mini,F,22,F15-24
432,-7529509775123603947,xiaomi,red rice,M,71,M45+
433,-1493840558986073675,xiaomi,MI 2,F,33,F25-34
434,1529903963536416558,samsung,Galaxy S4,M,21,M15-24
435,-8915267361491809917,索尼,Xperia Z1,M,21,M15-24
436,3849169624975406378,samsung,Galaxy Note 3,F,28,F25-34
437,7988211862677349971,xiaomi,红米1S,F,55,F45+
438,-8392167477699682531,xiaomi,MI 2S,F,37,F35-44
439,-3048603737406717677,oppo,Find 7,F,34,F25-34
440,-6107699314743579438,huawei,C8815,M,28,M25-34
441,-1332486320254099647,xiaomi,红米1S,M,20,M15-24
442,1593002807087923727,xiaomi,MI 3,M,26,M25-34
443,-1492328062637585490,lenovo,S720,M,45,M45+
444,-7423729136460301207,oppo,U707T,F,51,F45+
445,5575556249005735459,vivo,Y613,M,35,M35-44
446,8182624640780765591,索尼,Xperia Z1,M,30,M25-34
447,-7870957834798080331,samsung,Galaxy S4,F,48,F45+
448,-9164408324263942964,xiaomi,红米note增强版,M,29,M25-34
449,9205308032549517975,xiaomi,MI 2S,M,22,M15-24
450,1745167391777640020,nibilu,火星一号,M,21,M15-24
451,-34124563593268220,samsung,Galaxy Ace 3,F,67,F45+
452,-555325931233844552,nubia,Z5S Mini,F,26,F25-34
453,-3496842922509929509,vivo,X710L,F,33,F25-34
454,-5008341635002669449,huawei,荣耀6 Plus,M,19,M15-24
455,5626592001278999239,meizu,MX2,M,27,M25-34
456,4193416964520372615,xiaomi,MI 3,M,44,M35-44
457,5166513745266647662,xiaomi,MI 2A,M,23,M15-24
458,5471265182971777141,samsung,Galaxy Note 3,F,23,F15-24
459,6825655179475901179,samsung,Galaxy Note 3,M,68,M45+
