,id,job title,job link,PhD OR ph.d,Bachelors OR BS OR BA,Python,Startup OR start-up,Scientist,Machine learning,Lab OR laboratory,Software engineer,Manager OR director,years experience,salary over 90000
18,jl_7b62a40f3ea90c00,Research data scientist,https://www.indeed.com/rc/clk?jk=7b62a40f3ea90c00&fccid=e5cd607b0c782092,1,1,0,0,1,1,1,0,1,6,0
19,jl_1f1198f76898781f,Data scientist,https://www.indeed.com/rc/clk?jk=1f1198f76898781f&fccid=98cf89b6f2757d12,1,0,1,0,1,1,0,0,0,0,1
20,jl_04a882314da504d4,"Mass spectrometry data analyst, usa-boston",https://www.indeed.com/company/Genedata/jobs/Mass-Spectrometry-Data-Analyst-04a882314da504d4?r=1&fccid=7c9d2dd37a6f8187,1,0,0,0,1,0,0,0,0,3,1
21,jl_82fd0f489c1fdce7,"Scientist, academic research",https://www.indeed.com/rc/clk?jk=82fd0f489c1fdce7&fccid=30389e15a5e8b093,1,0,0,0,1,0,0,0,1,0,0
22,jl_bb7aa67e9c5a414a,Cyber analytics researcher,https://www.indeed.com/rc/clk?jk=bb7aa67e9c5a414a&fccid=a015205ad138ca75,1,0,1,0,1,1,1,0,0,5,1
23,jl_0bb820bd8ae6e87b,Research scientist,https://www.indeed.com/company/Covaris-Inc./jobs/Research-Scientist-0bb820bd8ae6e87b?r=1&fccid=cc08452d5f0255af,1,0,0,0,1,0,0,0,1,5,0
24,jl_174d886f23f3d05e,Sr research associate / scientist,https://www.indeed.com/rc/clk?jk=174d886f23f3d05e&fccid=6089b239f938d042,1,0,0,0,1,0,1,0,0,0,0
25,jl_e4c3bb89a400c5dd,Senior analyst / water resources,https://www.indeed.com/rc/clk?jk=e4c3bb89a400c5dd&fccid=a13c40c13c1aafa9,1,0,0,0,1,0,0,0,0,3,0
26,jl_6ba61a06f7d61f3d,"Research scientist, advanced modeling",https://www.indeed.com/rc/clk?jk=6ba61a06f7d61f3d&fccid=7bb6931b3a51e34f,1,0,0,0,1,0,0,0,0,0,0
27,jl_ae5dc308c4e548a6,Research scientist,https://www.indeed.com/rc/clk?jk=ae5dc308c4e548a6&fccid=74bdc344f1934b20,1,0,0,0,1,1,0,0,0,0,0
28,jl_9315b3a96ad20ac0,Consumer data scientist,https://www.indeed.com/rc/clk?jk=9315b3a96ad20ac0&fccid=a4a8e7f5a8208024,1,0,0,0,1,1,0,0,0,0,1
29,jl_21d15e6f125bf3f4,"Staff scientist, translational biology & biomarkers",https://www.indeed.com/rc/clk?jk=21d15e6f125bf3f4&fccid=6b43aa4f7c6d4564,1,0,0,0,1,0,0,0,0,3,1
30,jl_a6e054a4c171a552,"Viral vector purification process development, sr. scientist",https://www.indeed.com/rc/clk?jk=a6e054a4c171a552&fccid=22a86b559b3e662b,1,0,0,0,1,0,1,0,0,5,1
31,jl_70351b5092814475,Biomedical data scientist,https://www.indeed.com/company/Pfizer-Inc./jobs/Biomedical-Data-Scientist-70351b5092814475?r=1&fccid=5e118f74384e090a,1,0,1,0,1,1,0,0,0,7,1
32,jl_98bed206eb115e04,"Research scientist, advanced modeling",https://www.indeed.com/company/Precision-Health-Economics/jobs/Research-Scientist-98bed206eb115e04?r=1&fccid=8bb6b5f79e2651a0,1,0,0,0,1,0,0,0,1,0,0
33,jl_151c68314992c211,"Scientist/ sr. scientist, toxicology",https://www.indeed.com/rc/clk?jk=151c68314992c211&fccid=4c6cf88833e4f557,1,0,0,0,1,0,1,0,0,0,1
34,jl_c5d858029d725c01,Data scientist / genomic data analyst,https://www.indeed.com/rc/clk?jk=c5d858029d725c01&fccid=6089b239f938d042,1,0,1,0,1,0,0,0,0,0,0
35,jl_1d3b4f6aa5903f5b,"Sr operations research scientist-framingham, ma",https://www.indeed.com/rc/clk?jk=1d3b4f6aa5903f5b&fccid=2c749d549b16ad16,1,0,0,0,1,0,0,0,0,0,1
36,jl_88e3e5ede3694579,"Sr. scientist, translantional sciences",https://www.indeed.com/rc/clk?jk=88e3e5ede3694579&fccid=04233dcb6353e8e1,1,0,0,0,1,0,0,0,0,6,1
37,jl_75dc22d9171b4771,"Principal scientist, drug product development & manufacturin...",https://www.indeed.com/rc/clk?jk=75dc22d9171b4771&fccid=979670c65d290df0,1,0,0,0,1,0,1,0,0,5,0
38,jl_ad5d4131fa72ceb2,"Scientist, cell line development",https://www.indeed.com/rc/clk?jk=ad5d4131fa72ceb2&fccid=adb55a49f6636f0e,1,0,0,0,1,0,1,0,0,0,0
39,jl_1a7766c45b1abbeb,Data scientist – scientific data analysis,https://www.indeed.com/rc/clk?jk=1a7766c45b1abbeb&fccid=e3d02f970def32f7,1,0,0,0,1,1,0,0,0,3,0
40,jl_99e0374d2cd46091,"Research scientist - meta research - waltham, ma",https://www.indeed.com/rc/clk?jk=99e0374d2cd46091&fccid=13bdc6eb14329ae4,1,0,0,0,0,0,0,0,0,0,1
41,jl_82fe2a628a7381a6,Data scientist,https://www.indeed.com/rc/clk?jk=82fe2a628a7381a6&fccid=0a4146cb07c08af8,1,0,1,0,1,1,0,0,1,3,1
42,jl_2d63f589c7b4584b,Data scientist,https://www.indeed.com/rc/clk?jk=2d63f589c7b4584b&fccid=95485c6456ed2114,1,0,1,0,1,1,0,0,0,2,1
43,jl_c28f0284f9a5d601,Principal data scientist - 37854br,https://www.indeed.com/rc/clk?jk=c28f0284f9a5d601&fccid=7077d7e88049c02a,1,0,1,0,1,1,0,0,0,0,1
44,jl_04a294feed2acb5a,"Data scientist, inflammation and immunology research",https://www.indeed.com/company/Pfizer-Inc./jobs/Data-Scientist-04a294feed2acb5a?r=1&fccid=5e118f74384e090a,1,0,1,0,1,1,0,0,0,0,1
45,jl_df6c83c586335166,"Research scientist, senseable city lab",https://www.indeed.com/rc/clk?jk=df6c83c586335166&fccid=71cf745ec1b3aae4,1,0,0,0,1,0,1,0,0,0,1
46,jl_87cc4744248bbda8,Product operations analyst,https://www.indeed.com/rc/clk?jk=87cc4744248bbda8&fccid=9c094dedde5fb497,1,0,0,0,1,0,0,0,0,4,1
47,jl_ffb7f83fa7858f6a,"Data scientist, algorithms",https://www.indeed.com/rc/clk?jk=ffb7f83fa7858f6a&fccid=95485c6456ed2114,1,1,1,0,1,1,0,0,0,0,1
48,jl_a7e5cadd2d2cf906,"Principal data scientist, non-profit - life-changing project...",https://www.indeed.com/rc/clk?jk=a7e5cadd2d2cf906&fccid=d72eb0548d91249c,1,0,1,0,1,1,0,0,0,0,1
49,jl_8fb80761e03f4f34,Computational scientist,https://www.indeed.com/rc/clk?jk=8fb80761e03f4f34&fccid=35dfff6d9f9cb24a,1,0,1,1,1,1,0,0,0,0,1
50,jl_98fbcf1df40d912b,"Research scientist - amazon web services - cambridge, ma",https://www.indeed.com/rc/clk?jk=98fbcf1df40d912b&fccid=fe2d21eef233e94a,1,0,1,1,1,0,0,0,0,6,1
51,jl_48bd0995d3e1c56b,Data scientist 4,https://www.indeed.com/rc/clk?jk=48bd0995d3e1c56b&fccid=cd22d01053af7669,1,0,0,0,0,0,1,0,0,2,0
52,jl_8dcb69dd20ec366f,Data scientist,https://www.indeed.com/rc/clk?jk=8dcb69dd20ec366f&fccid=9c094dedde5fb497,1,0,1,0,1,1,0,0,0,2,1
53,jl_06ddab1b40eb23b2,"Scientist, analytical development",https://www.indeed.com/rc/clk?jk=06ddab1b40eb23b2&fccid=979670c65d290df0,1,0,0,0,1,0,1,0,0,0,0
54,jl_0ea00cbc973dc761,Cognitive / ai data scientist,https://www.indeed.com/rc/clk?jk=0ea00cbc973dc761&fccid=c5992e907d992a23,1,0,1,0,1,1,0,0,0,0,1
55,jl_770ee63428ff8a22,"Scientist ii/sr scientist, computational biology",https://www.indeed.com/rc/clk?jk=770ee63428ff8a22&fccid=04233dcb6353e8e1,1,0,0,0,1,0,0,0,0,0,1
56,jl_3d221f094c0db8df,"Scientist/sr. scientist, translational sciences",https://www.indeed.com/rc/clk?jk=3d221f094c0db8df&fccid=f624f680b45cd8d4,1,0,0,0,1,0,1,0,0,4,1
57,jl_b9534037fb378bb2,Machine learning data scientist,https://www.indeed.com/rc/clk?jk=b9534037fb378bb2&fccid=019007fa2a29a8a5,1,0,1,0,1,1,0,0,0,3,1
58,jl_01a41531e800513c,Data scientist,https://www.indeed.com/rc/clk?jk=01a41531e800513c&fccid=26ed24f5b2eebd9b,1,0,1,0,1,1,0,0,0,4,1
59,jl_46dd5d3b34eb8095,Data scientist,https://www.indeed.com/rc/clk?jk=46dd5d3b34eb8095&fccid=74bdc344f1934b20,1,0,1,0,1,1,0,0,1,0,1
60,jl_825908bad8fc45b8,"Sr. scientist/scientist, cell line biologics process develop...",https://www.indeed.com/rc/clk?jk=825908bad8fc45b8&fccid=979670c65d290df0,1,0,0,0,1,0,0,0,0,0,1
61,jl_026e13853d577109,Data scientist / machine learning engineer,https://www.indeed.com/rc/clk?jk=026e13853d577109&fccid=ffd036648d593921,1,0,1,1,1,1,0,0,0,0,1
62,jl_1f99d4f5d8ff9324,Research scientist,https://www.indeed.com/rc/clk?jk=1f99d4f5d8ff9324&fccid=10fdf117c41a62ba,1,0,0,0,1,0,0,0,0,3,0
63,jl_5348f8e5059d9c0d,Coastal ocean research scientist,https://www.indeed.com/rc/clk?jk=5348f8e5059d9c0d&fccid=5620b13654993581,1,0,0,0,1,0,0,0,0,0,1
64,jl_7536e0796c00e320,"Scientist/ sr. scientist, pharmacokinetics",https://www.indeed.com/rc/clk?jk=7536e0796c00e320&fccid=4c6cf88833e4f557,1,0,0,0,1,0,0,0,0,0,0
65,jl_62736f7cb9fb2106,Data scientist,https://www.indeed.com/rc/clk?jk=62736f7cb9fb2106&fccid=56dffd077bee5a25,1,0,1,0,1,1,0,0,0,0,0
66,jl_eec7bd3e96930e6c,Staff scientist – tissue and organ regeneration,https://www.indeed.com/rc/clk?jk=eec7bd3e96930e6c&fccid=5507a64404691526,1,0,0,0,1,0,1,0,1,3,0
67,jl_d1a877c30ca7a5e6,Data scientist,https://www.indeed.com/rc/clk?jk=d1a877c30ca7a5e6&fccid=ae04332349a994b0,1,0,1,1,1,1,0,0,0,0,1
68,jl_97c06f958980178d,"Scientist, immunology",https://www.indeed.com/rc/clk?jk=97c06f958980178d&fccid=22c6be40a3213663,1,0,0,0,1,0,0,0,1,0,0
69,jl_78d0cf9cf307f9a5,"Research scientist, mit tess pipeline scientist",https://www.indeed.com/rc/clk?jk=78d0cf9cf307f9a5&fccid=71cf745ec1b3aae4,1,0,0,0,1,0,0,0,0,0,0
70,jl_6b8a4d0d2f4783fc,"Scientist, statistical genetics and genetic epidemiology",https://www.indeed.com/rc/clk?jk=6b8a4d0d2f4783fc&fccid=04233dcb6353e8e1,1,0,1,0,1,0,0,0,0,0,0
71,jl_3075f4480f542210,"Scientist, analytical development/characterization",https://www.indeed.com/rc/clk?jk=3075f4480f542210&fccid=4c6cf88833e4f557,1,0,0,0,1,0,0,0,0,3,0
72,jl_445f9f72145ccbcc,"Innovation fellow, clinical data science center",https://www.indeed.com/rc/clk?jk=445f9f72145ccbcc&fccid=26ed24f5b2eebd9b,1,1,1,0,1,1,0,0,0,0,0
73,jl_eae02dae4541453c,Post-doctoral research fellow metabolism,https://www.indeed.com/rc/clk?jk=eae02dae4541453c&fccid=8c8fa600b6a5fdd5,1,0,0,0,1,0,1,0,0,3,0
74,jl_2370348e80d8c420,Data scientist,https://www.indeed.com/rc/clk?jk=2370348e80d8c420&fccid=ae836b4513efc3af,1,0,1,0,1,1,0,1,0,3,1
75,jl_070fbed177deef77,"Sr scientist, in vitro electrophysiology",https://www.indeed.com/rc/clk?jk=070fbed177deef77&fccid=25e12295301ccb20,1,0,1,0,1,0,1,0,0,3,1
76,jl_796c8c5e76ef2c2d,Data scientist - geospatial analytics,https://www.indeed.com/rc/clk?jk=796c8c5e76ef2c2d&fccid=6576e7250aa78c3c,1,0,1,0,1,0,0,0,0,0,1
77,jl_a4e8e5750d0fc303,Staff scientist protein characterization,https://www.indeed.com/rc/clk?jk=a4e8e5750d0fc303&fccid=adb55a49f6636f0e,1,0,0,0,1,0,1,0,0,5,0
78,jl_7d23fb51a6d2b792,Data scientist,https://www.indeed.com/rc/clk?jk=7d23fb51a6d2b792&fccid=711fe5b1e58ec038,1,0,0,0,1,1,0,0,0,0,1
79,jl_d433fe393f99e1f8,Applied scientist ii -,https://www.indeed.com/rc/clk?jk=d433fe393f99e1f8&fccid=fe2d21eef233e94a,1,0,1,0,1,1,0,0,0,0,0
80,jl_e7c85f4920c4e38c,"Scientist, immuno-oncology",https://www.indeed.com/rc/clk?jk=e7c85f4920c4e38c&fccid=f73ceb7ab936a1df,1,0,0,0,1,0,1,0,0,5,1
81,jl_e632343c455d80f9,"Scientist, cancer genomics – informatics",https://www.indeed.com/rc/clk?jk=e632343c455d80f9&fccid=6089b239f938d042,1,0,1,0,1,0,0,0,0,0,0
82,jl_a638c3a55a1cfe96,Staff data scientist,https://www.indeed.com/rc/clk?jk=a638c3a55a1cfe96&fccid=b7fef99688366533,1,0,1,0,1,1,0,0,0,5,1
83,jl_3b58a2212af3ba86,"Scientist, molecular biology",https://www.indeed.com/rc/clk?jk=3b58a2212af3ba86&fccid=239038ea571d5a08,1,0,1,0,1,0,0,0,0,2,1
84,jl_30e4d5ae69d55215,Field applications scientist,https://www.indeed.com/rc/clk?jk=30e4d5ae69d55215&fccid=37b3a5500c2d9636,1,1,0,0,1,0,1,0,0,2,0
85,jl_8dfa55979c45310c,"Principal scientist, stability",https://www.indeed.com/rc/clk?jk=8dfa55979c45310c&fccid=4c6cf88833e4f557,1,0,0,0,1,0,1,0,0,4,0
86,jl_95ca2d452994b200,Research scientist,https://www.indeed.com/rc/clk?jk=95ca2d452994b200&fccid=fe2d21eef233e94a,1,0,1,0,1,1,0,0,0,0,1
87,jl_033222419605ed3f,"Scientist/sr. scientist, advanced microbiomic analytics",https://www.indeed.com/company/Stealth-Mode/jobs/Scientist-Senior-Scientist-033222419605ed3f?r=1&fccid=164429008b308b48,1,0,0,0,1,0,1,0,0,5,1
88,jl_44da2bd2b0b7e145,Machine learning scientist,https://www.indeed.com/rc/clk?jk=44da2bd2b0b7e145&fccid=fe2d21eef233e94a,1,0,1,0,1,1,0,0,0,0,1
89,jl_c888c568c29a71b7,Dmpk scientist,https://www.indeed.com/rc/clk?jk=c888c568c29a71b7&fccid=14b7875e481a1a70,1,0,1,0,1,0,0,0,0,0,0
90,jl_e6d89a7a7272a775,"Scientist, in vitro-antibody discovery",https://www.indeed.com/rc/clk?jk=e6d89a7a7272a775&fccid=adb55a49f6636f0e,1,0,0,0,1,0,1,0,0,0,0
91,jl_b3462acabd0f43c3,Bioinformatics scientist,https://www.indeed.com/rc/clk?jk=b3462acabd0f43c3&fccid=5507a64404691526,1,0,1,0,1,0,1,0,0,7,0
92,jl_ccb6abda46e8efe7,Pv scientist,https://www.indeed.com/rc/clk?jk=ccb6abda46e8efe7&fccid=adb55a49f6636f0e,1,0,0,0,1,0,0,0,0,0,1
93,jl_fbcf30a85a9a431e,Bioverativ - principal scientist,https://www.indeed.com/rc/clk?jk=fbcf30a85a9a431e&fccid=04233dcb6353e8e1,1,0,0,0,1,0,0,0,0,0,1
94,jl_ae1a44aaddb48640,"Scientist, ophthalmology, single-cell molecular profiling",https://www.indeed.com/rc/clk?jk=ae1a44aaddb48640&fccid=e3d02f970def32f7,1,0,1,0,1,1,0,0,0,3,0
95,jl_ba19b2e0984e8e1f,Bioinformatics scientist,https://www.indeed.com/rc/clk?jk=ba19b2e0984e8e1f&fccid=6089b239f938d042,1,0,1,1,1,0,1,0,0,3,1
96,jl_7fe200413513198a,"Large molecule bioanalytical scientist (as ii), 12 months ft...",https://www.indeed.com/rc/clk?jk=7fe200413513198a&fccid=23b9a517ff55b9c7,1,0,0,0,1,0,1,0,1,0,1
97,jl_104372296a1d5292,Data scientist,https://www.indeed.com/rc/clk?jk=104372296a1d5292&fccid=0fc0821efa996180,1,0,1,0,1,0,0,0,0,0,1
98,jl_d3e7ee950f19bc93,Machine learning data scientist,https://www.indeed.com/rc/clk?jk=d3e7ee950f19bc93&fccid=40ef086ccdfb6053,1,0,1,0,1,1,0,0,0,3,1
99,jl_a67fe5b77afb9bcf,Principal data & applied scientist,https://www.indeed.com/rc/clk?jk=a67fe5b77afb9bcf&fccid=734cb5a01ee60f80,1,1,0,0,1,1,0,0,0,3,1
100,jl_1a043154658e5166,"Sr. scientist, computational sciences",https://www.indeed.com/rc/clk?jk=1a043154658e5166&fccid=53272541f69a168c,1,0,0,0,1,0,0,0,0,0,1
101,jl_8b7ca6450e2a0ccf,"Sr scientist, laboratory of neuronal cell biology, research",https://www.indeed.com/rc/clk?jk=8b7ca6450e2a0ccf&fccid=04233dcb6353e8e1,1,0,0,0,1,0,1,0,1,5,0
102,jl_5ae12f4efea272ad,Scientist ii,https://www.indeed.com/rc/clk?jk=5ae12f4efea272ad&fccid=2f46597b3844ba65,1,0,1,0,1,0,0,0,0,4,0
103,jl_9abe9069b31343a6,"Scientist/sr. scientist, virology, valera",https://www.indeed.com/rc/clk?jk=9abe9069b31343a6&fccid=239038ea571d5a08,1,0,0,0,1,0,1,0,0,3,0
104,jl_4ed85ce1d965e27a,Data scientist,https://www.indeed.com/rc/clk?jk=4ed85ce1d965e27a&fccid=ca2b244e2a15ca5c,1,0,1,0,1,1,0,0,0,0,1
105,jl_c6971ecdae3a7a30,"Sr./principal scientist, bioinformatics, computational scien...",https://www.indeed.com/rc/clk?jk=c6971ecdae3a7a30&fccid=239038ea571d5a08,1,0,1,0,1,1,0,0,0,5,1
106,jl_24681070fdac0e58,Data specialist (boston): 1608-2015,https://www.indeed.com/rc/clk?jk=24681070fdac0e58&fccid=760b30b03b218687,1,1,1,0,1,1,0,0,0,1,0
107,jl_9778928e030197b4,"Data scientist, world-class consultancy role",https://www.indeed.com/rc/clk?jk=9778928e030197b4&fccid=d72eb0548d91249c,1,0,1,0,1,1,0,0,0,3,1
108,jl_e9811bb71cffe5c4,Sr scientist,https://www.indeed.com/rc/clk?jk=e9811bb71cffe5c4&fccid=003656df63cede32,1,0,0,0,1,0,0,0,1,0,0
109,jl_626cf8610817fc9f,Visiting scientist,https://www.indeed.com/rc/clk?jk=626cf8610817fc9f&fccid=1639254ea84748b5,1,0,0,0,1,0,0,0,0,0,0
110,jl_fd766cb0b544acf9,Computational scientist i,https://www.indeed.com/rc/clk?jk=fd766cb0b544acf9&fccid=b8295c348463e6f3,1,0,1,0,1,0,1,0,1,1,1
111,jl_b0f565490f5bfdb8,Research associate,https://www.indeed.com/rc/clk?jk=b0f565490f5bfdb8&fccid=71cf745ec1b3aae4,1,0,0,0,1,0,0,0,0,0,0
112,jl_aa1721403e344083,Computational biology scientist - knowledge systems group,https://www.indeed.com/rc/clk?jk=aa1721403e344083&fccid=31a15643b156b0a5,1,0,1,0,1,0,0,0,1,0,0
113,jl_a40c538b91a4ab76,Research scientist i,https://www.indeed.com/rc/clk?jk=a40c538b91a4ab76&fccid=86bf2045f97c7f49,1,0,0,0,1,0,0,0,0,2,0
114,jl_88b93cf557fdfd70,"Head, chemistry information systems",https://www.indeed.com/rc/clk?jk=88b93cf557fdfd70&fccid=e3d02f970def32f7,1,0,0,0,1,1,0,0,1,0,1
115,jl_c9e1f3cee4e096a2,Sr. scientist (immunology),https://www.indeed.com/rc/clk?jk=c9e1f3cee4e096a2&fccid=99c3b564f0d10202,1,0,0,0,1,0,1,0,0,0,0
116,jl_30c5bf7fe7b49271,Analytical scientist i,https://www.indeed.com/rc/clk?jk=30c5bf7fe7b49271&fccid=adb55a49f6636f0e,1,1,0,0,1,0,1,0,0,7,1
117,jl_0f87d0f659df75a5,Computer vision - research scientist,https://www.indeed.com/rc/clk?jk=0f87d0f659df75a5&fccid=90a4698effcafd89,1,0,1,0,1,1,0,0,0,0,1
118,jl_86ee9e143418385c,Data scientist,https://www.indeed.com/rc/clk?jk=86ee9e143418385c&fccid=6576e7250aa78c3c,1,0,1,0,1,1,0,0,0,3,1
119,jl_73b5bb618baf3c97,Research fellow- cancer for center evolution,https://www.indeed.com/rc/clk?jk=73b5bb618baf3c97&fccid=31a15643b156b0a5,1,0,0,0,1,0,0,0,1,3,0
120,jl_747d7a9796cc5430,Principal data scientist,https://www.indeed.com/rc/clk?jk=747d7a9796cc5430&fccid=b3fc015a7c99e39b,1,0,1,0,1,1,0,0,0,0,1
121,jl_c48921aca733afe9,Lcms applications scientist,https://www.indeed.com/rc/clk?jk=c48921aca733afe9&fccid=163c11f34750a7cd,1,0,0,0,1,0,1,0,0,5,1
122,jl_ddc4022f1fb62759,Research scientist,https://www.indeed.com/rc/clk?jk=ddc4022f1fb62759&fccid=fe404d18bb9eef1e,1,0,0,0,1,1,0,0,0,0,1
123,jl_0e4266ebdd50ccaf,Process science scientist,https://www.indeed.com/company/CuriRx-Inc/jobs/Process-Science-Scientist-0e4266ebdd50ccaf?r=1&fccid=5605b15951dee666,1,0,0,0,1,0,1,0,0,0,0
124,jl_b18f611b8cade800,Scientist - biology,https://www.indeed.com/rc/clk?jk=b18f611b8cade800&fccid=792060518a3acdec,1,0,0,0,0,0,1,0,0,0,1
125,jl_f6384261b60b44f4,Formulation scientist,https://www.indeed.com/company/CuriRx-Inc/jobs/Formulation-Scientist-f6384261b60b44f4?r=1&fccid=5605b15951dee666,1,0,0,0,1,0,1,0,0,0,1
126,jl_515fe1a77620c4fb,"Scientist, pharmacokinetics",https://www.indeed.com/rc/clk?jk=515fe1a77620c4fb&fccid=792060518a3acdec,1,0,0,0,1,0,0,0,0,0,1
127,jl_18573129be2ef0f8,"Scientist, gene therapy development - cell culture developme...",https://www.indeed.com/rc/clk?jk=18573129be2ef0f8&fccid=adb55a49f6636f0e,1,0,0,0,1,0,1,0,0,0,0
128,jl_23f50672feadce16,Senior data scientist,https://www.indeed.com/rc/clk?jk=23f50672feadce16&fccid=4a2d2fbadf14d480,1,0,0,0,0,0,0,0,0,2,0
129,jl_e84f2a75cd31a153,"Data scientist, ecommerce analytics",https://www.indeed.com/rc/clk?jk=e84f2a75cd31a153&fccid=d72eb0548d91249c,1,0,0,0,0,0,0,0,0,0,0
130,jl_7c4bf4ba3b390ba4,"Data scientist, healthcare",https://www.indeed.com/rc/clk?jk=7c4bf4ba3b390ba4&fccid=d72eb0548d91249c,1,0,1,0,0,1,0,0,0,5,1
131,jl_ac4dd8419a57a13e,"Associate director/director, immunology",https://www.indeed.com/rc/clk?jk=ac4dd8419a57a13e&fccid=22c6be40a3213663,1,0,0,0,1,0,1,0,1,5,1
132,jl_d745b642c469a467,Data scientist (boston),https://www.indeed.com/rc/clk?jk=d745b642c469a467&fccid=0ca81e4238390a2d,1,0,1,0,1,1,0,0,0,0,1
133,jl_009047ba89f82da3,Image/sensor analytics scientist/engineer,https://www.indeed.com/rc/clk?jk=009047ba89f82da3&fccid=2f0040aca661ed55,1,0,0,0,1,0,1,0,0,0,1
134,jl_32122be46c858ee8,"Sr. scientist, translational oncology, onkaido",https://www.indeed.com/rc/clk?jk=32122be46c858ee8&fccid=239038ea571d5a08,1,0,0,0,1,0,1,0,0,6,1
135,jl_04bb52a92d4f229d,Field application scientist,https://www.indeed.com/rc/clk?jk=04bb52a92d4f229d&fccid=1689dcf5e32857b8,1,1,0,0,1,0,0,0,0,0,1
136,jl_0d10ec5c2c7c0452,Data scientist,https://www.indeed.com/rc/clk?jk=0d10ec5c2c7c0452&fccid=d1eb5e07f9ef9f98,1,1,0,0,1,1,0,0,0,6,1
137,jl_d1b95e9aa3308340,Research associate (animal& human cell immunology),https://www.indeed.com/company/Ivory-Systems/jobs/Research-Associate-d1b95e9aa3308340?r=1&fccid=adaa6eee975a2fa1,1,1,0,0,1,0,1,0,0,0,0
138,jl_1c81b34b23854260,"Data scientist / quantitative analyst, engineering",https://www.indeed.com/rc/clk?jk=1c81b34b23854260&fccid=a5b4499d9e91a5c6,1,0,1,0,1,1,0,0,0,5,1
